Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2022-01-30 02:00:00,712.125,743.4,,,,,5.8225,1.17,1.0595919,,,,61.8,0.0675,218.5425,,,500.0,Severe,Ahmedabad
2022-01-30 03:00:00,628.6,743.4,,,,,6.0875,0.995,,,,,64.105,0.0675,192.7725,,,500.0,Severe,Ahmedabad
2022-01-30 04:00:00,419.4,759.475,,,,,5.9125,0.875,,,,,68.15,0.085,167.955,,,500.0,Severe,Ahmedabad
2022-02-01 09:00:00,318.9,662.875,,,,,6.605,1.175,1.795,,,,74.06,0.0525,150.8875,,,500.0,Severe,Ahmedabad
2022-02-01 10:00:00,375.95,910.2,,,,,5.0425,1.075,7.875,,,,69.745,0.0375,132.9775,,,500.0,Severe,Ahmedabad
2022-02-01 11:00:00,487.25,888.4625,,,,,4.2375,1.2125,23.0075,,,,65.9225,0.0475,174.7425,,,500.0,Severe,Ahmedabad
2022-02-02 01:00:00,344.8,769.2,,,,,5.3675,1.2225,0.10789473,,,,83.845,0.0775,170.9,,,500.0,Severe,Ahmedabad
2022-02-02 02:00:00,630.825,802.2,,,,,6.0775,1.0875,0.099473685,,,,86.97,0.0925,108.525,,,500.0,Severe,Ahmedabad
2022-02-02 03:00:00,538.2,802.2,,,,,6.905,0.96,0.09105263,,,,89.7725,0.08,206.01,,,500.0,Severe,Ahmedabad
2022-02-04 23:00:00,665.9,651.2,,,,,7.3625,1.8175,0.86864585,,,50.276398,55.55,0.09,199.44,,,500.0,Severe,Ahmedabad
2022-02-05 00:00:00,665.9,643.0158,,,,,6.2525,2.0175,0.8428125,,,50.038162,59.06,0.07,235.0,,,500.0,Severe,Ahmedabad
