Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2021-02-11 15:00:00,527.3525,,0.01,0.01,0.0025,,31.57,0.41,32.715,0.0,0.0,,47.035,1.44,57.1675,160.26,850.0,500.0,Severe,Chennai
2021-03-25 10:00:00,657.32,,1.705,3.735,5.44,,,0.535,9.7125,0.0,0.0,,51.7125,1.1375,81.375,709.77,850.0,500.0,Severe,Chennai
2021-10-30 10:00:00,13.54,717.88,0.07,10.9875,0.0,0.06,0.23,0.72,8.885,0.0,0.0,,67.1875,11.7275,23.2375,208.03,,500.0,Severe,Chennai
2022-02-14 00:00:00,466.3375,755.16,2.0275,5.085,7.11,8.405,13.9125,0.735,5.4525,0.0,0.0,,84.3925,1.63,265.805,0.8625,,500.0,Severe,Chennai
2022-02-21 07:00:00,392.15,635.51,2.575,5.2375,7.8175,8.55,13.79,0.96,5.9725,0.0,0.0,,85.4625,1.0925,222.725,44.935,,500.0,Severe,Chennai
2022-05-01 16:00:00,617.3187,,2.0325,8.2725,10.3025,28.5025,13.5775,0.77,11.38,0.0,0.0,,72.7725,1.7975,158.2525,149.88,850.0,500.0,Severe,Chennai
2022-05-01 17:00:00,633.56,,2.2,8.3325,10.5325,28.5425,13.7925,0.745,13.29,0.0,0.0,,78.315,1.7825,157.6625,32.9325,850.0,500.0,Severe,Chennai
2022-05-01 18:00:00,633.56,,4.1475,9.3375,13.485,29.02,13.505,0.9075,12.3975,0.0,0.0,,82.455,1.7225,157.675,3.57,850.0,500.0,Severe,Chennai
2022-05-01 19:00:00,540.8915,,8.835,12.1325,20.97,30.22,13.995,0.93,11.81,0.0,0.0,,84.7475,1.6,150.57,3.57,850.0,500.0,Severe,Chennai
2022-05-15 06:00:00,30.54,886.19,19.2175,19.7375,38.9525,13.7275,8.6825,0.8925,3.4875,0.0,0.0,,85.595,1.4075,205.8475,31.9825,850.0,500.0,Severe,Chennai
