Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2015-02-25 02:00:00,,,11.25,58.75,40.25,50.75,5.875,50.0,54.75,,,,,,,,,500.0,Severe,Delhi NCR
2015-02-25 03:00:00,,,10.0,51.25,35.25,55.75,6.1,50.0,56.0,,,,,,,,,500.0,Severe,Delhi NCR
2015-02-25 04:00:00,,,10.0,46.5,32.75,57.75,5.875,50.0,58.0,,,,,,,,,500.0,Severe,Delhi NCR
2015-12-25 20:00:00,,,57.25,211.25,159.25,84.0,11.225,50.0,16.0,,,,,,,,,500.0,Severe,Delhi NCR
2017-10-20 00:00:00,650.9275,883.075,50.6375,7.0075,37.47,,,0.85,23.03,,,,,,,,,500.0,Severe,Delhi NCR
2017-10-20 01:00:00,798.1975,909.49,59.6475,6.6775,37.322926,,,0.85,23.3475,,,,,,,,,500.0,Severe,Delhi NCR
2017-10-20 02:00:00,629.28,952.1125,49.3125,7.0275,36.930733,,,0.8575,22.11,,,,,,,,,500.0,Severe,Delhi NCR
2017-10-20 03:00:00,543.1575,851.0325,44.0425,7.275,36.538536,,,0.86,20.7975,,,,,,,,,500.0,Severe,Delhi NCR
2017-10-20 04:00:00,506.605,795.11,41.82,7.3925,36.146343,,,0.87,21.305,,,,,,,,,500.0,Severe,Delhi NCR
2017-10-20 05:00:00,529.34,829.8925,43.195,7.3175,35.754147,,,0.88,22.175,,,,,,,,,500.0,Severe,Delhi NCR
2017-10-20 06:00:00,472.475,742.885,39.745,7.53,35.36195,,,0.88,20.915,,,,,,,,,500.0,Severe,Delhi NCR
2017-10-26 10:00:00,386.47,611.2975,34.59,7.9,,,,0.9175,30.445,,,31.1125,19.625,,,69.5,850.0,500.0,Severe,Delhi NCR
2017-10-26 11:00:00,384.23,606.1325,34.23,7.95,,,,0.905,40.615,,,28.2375,27.25,,,21.25,850.0,500.0,Severe,Delhi NCR
2017-11-06 08:00:00,616.8475,500.765,52.065,7.5825,59.645,,,1.0125,18.0675,,,,,,,,,500.0,Severe,Delhi NCR
