Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2019-04-15 20:00:00,107.47,898.64,89.77,35.175,124.94,37.8625,0.7275,0.42,30.615,1.7575,13.325,,56.8275,1.355,282.9225,2.45,,500.0,Severe,GandhiNagar
2019-04-15 21:00:00,153.945,898.64,102.585,41.115,143.7025,29.91,0.605,0.4075,32.145,1.355,10.335,,56.23,1.04,290.1625,2.775,,500.0,Severe,GandhiNagar
2019-04-15 22:00:00,159.0925,912.695,119.6975,46.88,166.5725,18.5275,0.6275,0.435,28.73,1.31,8.49,,56.86,0.57,303.7275,2.625,,500.0,Severe,GandhiNagar
2019-04-15 23:00:00,151.84,916.41,122.565,47.73,170.2925,16.6425,1.1025,0.4375,25.9225,1.305,7.4925,,56.9875,0.6175,291.2,3.45,,500.0,Severe,GandhiNagar
2019-04-16 00:00:00,156.9425,829.5175,127.9725,49.655,177.63,13.43,0.7075,0.3975,24.335,1.215,8.255,,56.93,0.8825,285.0875,4.05,,500.0,Severe,GandhiNagar
2019-04-16 01:00:00,153.17,848.16,129.06,51.165,180.225,12.445,0.6925,0.38,25.1925,1.2725,9.1175,,56.84,0.74,293.235,2.975,,500.0,Severe,GandhiNagar
2019-04-16 02:00:00,165.65,848.16,125.79,50.6275,176.415,14.385,0.875,0.3775,23.4225,1.185,7.8375,,56.875,0.59,290.4875,3.475,,500.0,Severe,GandhiNagar
2019-04-16 03:00:00,174.0175,845.8313,106.7,45.48,152.18,25.625,2.8225,0.36,23.1125,1.5075,9.215,,55.7,0.66,285.63,3.8,,500.0,Severe,GandhiNagar
2019-04-16 04:00:00,179.86,815.55853,91.0375,39.3825,130.42,35.81,1.3175,0.375,21.545,1.3125,9.5575,,54.4225,0.64,278.475,3.6,,500.0,Severe,GandhiNagar
2019-04-16 05:00:00,190.8725,778.2997,89.33,39.71,129.045,36.6825,1.49,0.3875,18.8975,1.27,9.5625,,55.1375,0.5075,281.2925,3.6,,500.0,Severe,GandhiNagar
2019-04-16 06:00:00,202.805,741.0409,84.9675,38.085,123.05,39.8575,3.4725,0.4325,14.21,1.58,9.8625,,55.28,0.8475,272.1575,18.1,,500.0,Severe,GandhiNagar
2019-04-16 07:00:00,205.0025,703.78204,100.4125,42.2375,142.6525,30.5525,5.03,0.4575,17.495,2.17,10.275,,56.24,0.595,289.8075,83.125,,500.0,Severe,GandhiNagar
2019-06-12 19:00:00,60.79,921.6075,5.1275,4.3875,9.5175,8.165,4.4775,0.21,27.7475,1.825,12.675,,56.2075,1.685,90.055,4.075,,500.0,Severe,GandhiNagar
2020-06-10 23:00:00,16.7875,606.0,4.8075,2.1875,6.9925,12.2675,5.01,0.375,3.2925,0.85,10.835,,80.54,2.1025,151.3275,4.45,,500.0,Severe,GandhiNagar
2021-09-12 00:00:00,23.96,818.44,5.4,8.975,12.83,10.3725,9.17,0.8425,2.355,0.57,3.7425,,89.2075,1.05,186.7125,,,500.0,Severe,GandhiNagar
2021-09-12 01:00:00,29.75,818.44,5.445,8.9,12.825,10.435,8.95,0.645,2.3,0.57,3.695,,90.53,1.015,200.615,,,500.0,Severe,GandhiNagar
2021-09-12 02:00:00,28.3675,812.0038,5.5225,8.4975,12.68,10.555,8.69,0.6125,2.29,0.555,3.7575,,82.63,0.945,207.61,,,500.0,Severe,GandhiNagar
2021-09-12 03:00:00,22.4025,728.33307,5.4225,8.49,12.595,10.5375,8.06,0.59,2.2425,0.5875,3.6375,,91.2175,0.86,209.715,,,500.0,Severe,GandhiNagar
2021-09-12 04:00:00,23.09,625.3537,5.12,8.445,12.3275,10.53,8.245,0.5875,2.2425,0.55,3.51,,93.8,0.755,202.755,,,500.0,Severe,GandhiNagar
2021-11-05 01:00:00,345.74,612.805,7.44,11.48,17.73,11.305,31.1775,0.4375,1.365,0.4375,2.9625,,48.67,0.6025,56.0725,,,500.0,Severe,GandhiNagar
2022-10-25 00:00:00,732.685,839.03,19.3575,15.36,34.4275,11.5675,28.8425,1.7275,1.5875,0.92,3.5775,,53.0575,0.29,128.7525,113.7,,500.0,Severe,GandhiNagar
2022-10-25 01:00:00,841.825,839.03,19.3925,15.01,34.6425,11.57,27.9675,1.2875,1.5925,0.92,3.5975,,52.68,0.2425,141.91,113.7,,500.0,Severe,GandhiNagar
2022-10-25 02:00:00,419.68,641.605,19.8775,14.915,35.125,11.745,20.7025,0.92,1.6325,0.9425,3.6425,,52.15,0.3725,63.6075,113.7,,500.0,Severe,GandhiNagar
2022-11-08 23:00:00,419.045,631.3675,6.51,5.0675,11.5425,8.215,10.5675,1.7175,26.605,0.66,2.57,,59.4625,0.3275,30.095,113.725,,500.0,Severe,GandhiNagar
2022-11-09 00:00:00,470.1525,622.0525,6.515,4.8925,11.455,8.4025,7.88,0.76,1.605,0.66,2.5525,,59.28,0.425,71.3425,113.7,,500.0,Severe,GandhiNagar
2023-11-13 01:00:00,523.55,188.2825,29.7575,17.5225,44.715,6.8475,13.61,2.05,0.9225,5.5625,19.7,,42.6975,0.425,232.455,9.4,,500.0,Severe,GandhiNagar
