Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2015-04-06 21:00:00,558.0,,3.495,10.77,14.27,,7.54,0.42,50.97,0.165,1.98,,61.36,0.66,186.96,12.34,737.435,500.0,Severe,Hyderabad
2015-04-06 22:00:00,558.0,,3.8875,16.525,20.41,,7.54,0.545,34.3675,0.15,1.98,,61.36,0.66,186.96,12.34,736.0175,500.0,Severe,Hyderabad
2015-04-07 10:00:00,995.0,,4.335,9.53,13.865,,4.8875,0.75,13.015,0.3125,3.0,,55.165,0.7125,255.295,605.995,745.7925,500.0,Severe,Hyderabad
2015-04-13 22:00:00,532.0,,6.5925,15.425,22.02,,6.31,0.3875,38.78,,,,85.66,0.5,160.2,12.33,743.635,500.0,Severe,Hyderabad
2015-04-14 00:00:00,995.0,,3.5,16.755,20.2525,,2.845,0.465,24.49,,,,85.55,0.78,314.64,12.15,744.9225,500.0,Severe,Hyderabad
2015-04-14 01:00:00,995.0,,2.97,11.5975,14.565,,2.685,0.19,33.97,,,,85.55,0.78,314.64,12.15,745.72,500.0,Severe,Hyderabad
2015-04-14 11:00:00,995.0,,14.1575,40.5875,54.7425,,2.8525,10.505,30.735,,,,74.565,0.505,183.725,262.8075,749.625,500.0,Severe,Hyderabad
2015-04-21 15:00:00,995.0,,9.8625,12.0625,21.925,,92.715,0.21,54.13,,,,31.585,0.7975,297.3325,273.13,743.1825,500.0,Severe,Hyderabad
2015-04-23 16:00:00,995.0,,3.34,10.9975,14.335,,19.3575,4.3325,61.375,,,,38.775,2.455,279.0575,270.09,741.915,500.0,Severe,Hyderabad
2015-04-29 18:00:00,995.0,,1.1775,24.0275,25.205,,3.835,0.515,42.8575,,,,31.1275,0.94,151.43,15.305,738.18,500.0,Severe,Hyderabad
2015-05-13 20:00:00,995.0,,19.56,45.9125,65.4725,,4.52,1.4925,24.015,,,,43.0,0.32,0.96,12.35,739.9325,500.0,Severe,Hyderabad
2015-06-01 18:00:00,995.0,,4.76,26.37,31.13,,3.4875,0.8425,49.72,,,,45.44,0.7175,142.87,17.2325,734.375,500.0,Severe,Hyderabad
2015-06-01 19:00:00,995.0,,3.7925,19.665,23.4625,,3.9325,0.65,41.9625,,,,46.385,0.825,166.445,12.3125,735.215,500.0,Severe,Hyderabad
2015-06-01 20:00:00,995.0,,3.635,21.0,24.635,,4.2275,0.71,33.9925,,,,45.99,0.755,157.495,12.3125,736.225,500.0,Severe,Hyderabad
2015-06-01 21:00:00,995.0,,3.8175,16.8475,20.665,,4.63,0.68,43.3875,,,,48.325,0.5525,200.9875,12.3,737.0,500.0,Severe,Hyderabad
2015-06-01 22:00:00,995.0,,4.0375,14.9575,18.995,,4.405,0.625,39.155,,,,50.33,1.7825,292.94,12.335,737.3925,500.0,Severe,Hyderabad
