Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2021-11-05 04:00:00,503.9655,429.24243,132.85,115.3,169.375,41.1,43.325,3.1125,13.35,,,15.825,79.25,0.3,110.75,68.0,702.25,500.0,Severe,Indore
2021-11-05 05:00:00,571.0,,94.825,109.45,135.275,38.875,28.3,2.185,13.05,,,15.825,78.0,0.325,125.25,66.25,703.0,500.0,Severe,Indore
2021-11-05 06:00:00,518.5,455.0,46.4,82.35,81.5,36.8,15.325,1.2625,25.325,,,16.15,69.25,0.55,101.0,70.5,703.0,500.0,Severe,Indore
2021-11-05 23:00:00,439.25,600.0,195.35,205.1,267.95,23.875,48.15,7.625,28.075,,,19.025,61.0,0.425,140.25,65.25,703.25,500.0,Severe,Indore
2021-11-06 00:00:00,473.5,600.0,180.925,198.825,252.85,44.6,46.4,6.1325,28.375,,,17.8,65.25,0.375,217.5,68.75,703.0,500.0,Severe,Indore
2022-02-01 22:00:00,283.5,620.5,323.6,359.9,404.575,52.625,23.1,4.085,16.2,,,18.05,70.0,0.475,120.5,67.5,701.0,500.0,Severe,Indore
2022-02-01 23:00:00,290.75,696.5,167.075,229.4,257.85,51.425,14.8,5.415,16.35,,,17.625,69.5,0.35,171.0,67.5,701.0,500.0,Severe,Indore
2022-10-24 23:00:00,279.0,687.0,112.35,91.075,139.775,24.575,183.1,0.015,131.65,,,22.6,53.75,0.325,192.0,67.25,701.0,500.0,Severe,Indore
2022-10-25 00:00:00,307.6,681.78845,147.775,95.6,170.95,34.025,183.4,0.01,36.275,,,22.5,57.25,0.325,244.75,67.75,700.5,500.0,Severe,Indore
2022-10-25 01:00:00,679.4,614.03845,45.3,82.4,80.65,28.925,96.425,1.965,17.275,,,22.0,54.5,0.3,226.25,66.5,700.0,500.0,Severe,Indore
2022-10-25 02:00:00,735.0,530.6539,37.175,79.725,72.6,28.5,74.95,5.235,24.4,,,21.225,57.75,0.3,247.5,66.25,700.0,500.0,Severe,Indore
2022-11-04 22:00:00,171.5,681.75,76.025,126.625,129.175,33.35,124.0,2.4075,64.525,,,25.25,60.25,0.3,173.5,68.0,705.0,500.0,Severe,Indore
2022-11-04 23:00:00,193.5,755.0,58.225,115.375,108.7,32.8,73.45,2.2675,46.55,,,24.725,61.5,0.3,176.25,66.0,705.0,500.0,Severe,Indore
2022-11-05 00:00:00,150.75,605.25,56.6,112.625,105.9,31.8,53.475,2.9275,38.975,,,23.85,63.75,0.3,172.75,66.25,704.75,500.0,Severe,Indore
2023-11-12 22:00:00,527.75,640.0,31.7,76.85,66.625,14.8,150.1,3.765,16.325,,,22.225,42.25,0.3,84.0,67.25,707.0,500.0,Severe,Indore
2023-11-12 23:00:00,588.5,812.0,31.6,108.375,83.375,28.025,122.25,3.125,26.325,,,21.675,44.5,0.325,102.25,67.5,707.0,500.0,Severe,Indore
2023-11-13 00:00:00,611.0,812.0,19.65,83.125,60.175,25.3,64.875,2.925,48.85,,,20.9,47.75,0.575,111.5,67.5,707.0,500.0,Severe,Indore
2023-11-13 01:00:00,687.75,795.75,12.975,55.275,39.975,26.575,36.525,2.6325,59.325,,,20.55,50.5,1.15,104.0,68.25,706.75,500.0,Severe,Indore
2023-11-13 02:00:00,764.75,584.5,7.325,46.425,30.625,27.725,21.2,2.42,81.975,,,20.4,53.75,0.9,92.25,69.25,706.0,500.0,Severe,Indore
2024-02-01 00:00:00,311.0,630.0,187.1,144.875,229.175,48.45,12.625,6.53,14.9,,,16.675,80.5,0.3,275.5,65.5,704.0,500.0,Severe,Indore
2024-10-23 21:00:00,259.5,612.75,7.075,201.55,109.0,23.875,20.6,4.31,9.725,,,23.875,80.0,0.3,331.25,66.25,702.75,500.0,Severe,Indore
2024-10-23 22:00:00,279.75,621.5,12.025,172.8,98.25,23.725,21.425,5.4625,8.1,,,23.25,82.0,0.3,283.75,65.0,703.0,500.0,Severe,Indore
2024-10-30 23:00:00,286.0,629.5,40.325,86.175,78.625,66.95,18.25,5.8025,8.575,,,24.25,70.5,0.3,194.5,65.0,703.0,500.0,Severe,Indore
2024-10-31 00:00:00,284.58334,778.5,37.725,84.15,75.45,64.25,18.525,5.5075,8.325,,,23.8,73.0,0.3,184.25,63.0,703.0,500.0,Severe,Indore
