Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2021-03-30 15:00:00,256.4525,963.64,6.28,50.46,31.4,19.1825,16.6775,1.6,43.6875,1.2375,1.52,,6.205,2.6825,281.6275,313.65,723.715,500.0,Severe,Jaipur
2021-03-30 16:00:00,375.8575,963.64,6.38,55.5425,34.135,20.905,23.5925,0.985,43.2875,1.225,1.5475,,5.56,2.28,282.02,234.8,723.7125,500.0,Severe,Jaipur
2021-03-30 17:00:00,324.0225,816.66,7.045,59.425,36.695,22.615,18.2225,0.4875,40.0375,1.7025,1.785,,5.035,2.8225,286.455,108.9,723.9375,500.0,Severe,Jaipur
2021-03-30 18:00:00,323.9275,839.65,10.33,72.7875,46.3125,28.3675,21.7425,0.7625,33.3425,3.0175,5.3475,,4.8225,2.2025,291.6125,31.9,724.41,500.0,Severe,Jaipur
2021-03-30 19:00:00,394.1875,843.455,12.84,80.7025,52.465,32.055,22.3225,0.74,29.4175,3.2625,5.345,,5.6325,1.67,276.445,17.65,724.94,500.0,Severe,Jaipur
2021-03-30 20:00:00,448.5,807.635,6.4425,72.7725,43.1875,27.165,23.05,0.76,38.3725,4.0875,6.5075,,7.46,1.825,266.65,18.125,725.385,500.0,Severe,Jaipur
2021-03-30 21:00:00,421.3775,744.25,6.385,66.5175,39.875,24.875,26.2875,0.885,39.615,3.56,6.2875,,8.1325,1.625,276.065,18.425,725.7225,500.0,Severe,Jaipur
2021-03-30 22:00:00,385.07,693.555,3.52,48.2725,28.0425,17.6075,33.5925,0.735,51.21,3.29,6.54,,12.29,1.8475,325.7075,17.4,725.7275,500.0,Severe,Jaipur
2021-03-30 23:00:00,378.2725,660.2325,2.325,45.3025,25.52,15.965,31.9575,0.75,55.77,3.1125,6.675,,19.125,1.09,330.6,17.1,725.5675,500.0,Severe,Jaipur
2021-03-31 00:00:00,323.1175,606.175,1.515,42.3375,23.285,14.7125,29.055,0.705,52.7325,1.0175,2.1475,,23.0325,0.6575,307.64,20.0,725.37,500.0,Severe,Jaipur
2021-04-07 04:00:00,678.05,363.95,1.745,28.025,16.035,19.515,15.32,0.695,41.27,0.995,1.6,,37.77,1.97,336.87,17.9,729.22,500.0,Severe,Jaipur
2021-04-07 05:00:00,658.845,506.4389,2.0025,35.7425,20.2425,19.7125,12.97,0.7375,32.9175,0.9475,2.08,,42.1775,1.2675,147.4475,18.825,729.6275,500.0,Severe,Jaipur
2021-04-07 06:00:00,551.38,734.4211,3.875,45.635,26.9125,20.195,10.4625,0.715,29.095,1.04,2.4925,,42.43,1.2975,28.8725,29.075,730.0875,500.0,Severe,Jaipur
2021-04-07 07:00:00,420.455,874.2475,6.1775,58.645,35.595,20.3875,8.985,0.7825,29.1875,0.94,2.155,,39.84,0.5125,26.395,119.65,730.9,500.0,Severe,Jaipur
2021-04-07 08:00:00,293.0225,635.71,6.115,55.04,33.66,22.6975,35.2525,0.8675,38.815,1.8275,1.9325,,37.2225,1.5475,53.1825,315.05,731.5575,500.0,Severe,Jaipur
2021-04-20 19:00:00,209.27,713.02,1.51,35.68,19.77,19.43,26.02,0.58,43.87,3.12,5.11,,38.37,2.71,332.05,20.8,726.47,500.0,Severe,Jaipur
2021-04-20 20:00:00,356.78,713.02,1.7875,30.9175,17.565,19.2425,26.02,0.595,47.335,3.7725,6.4375,,44.595,2.71,115.2925,20.2,726.7775,500.0,Severe,Jaipur
2021-04-20 21:00:00,301.31,936.59,0.735,26.605,14.395,20.22,19.483,0.165,55.225,3.5,6.58,,47.56,2.89,50.51,19.5,727.495,500.0,Severe,Jaipur
2021-04-20 22:00:00,240.8,671.9525,0.995,24.935,13.58,20.3575,5.2445,0.4625,54.2775,3.525,6.6375,,48.68,2.8825,53.2675,19.375,727.8175,500.0,Severe,Jaipur
2021-05-06 18:00:00,178.61,641.5,1.6925,27.2825,15.495,19.6225,4.7825,0.8675,64.995,3.3675,5.1225,,31.905,1.71,95.9825,35.425,727.5525,500.0,Severe,Jaipur
2021-05-06 19:00:00,445.59,641.5,1.93,28.7925,16.3275,18.9425,3.6275,1.0175,63.705,3.27,4.5475,,33.695,1.7,5.01,18.7,728.285,500.0,Severe,Jaipur
2021-05-06 20:00:00,585.86,641.5,0.755,22.95,12.2425,19.43,4.8975,0.8325,63.7425,4.245,6.7475,,38.73,3.4525,38.2075,17.9,728.85,500.0,Severe,Jaipur
2021-05-06 21:00:00,724.82,637.2075,1.0575,24.3275,13.4425,18.28,3.865,0.8425,65.305,3.4225,6.4825,,44.52,1.8825,245.525,19.8,730.625,500.0,Severe,Jaipur
2021-05-06 22:00:00,724.82,630.3395,1.36,24.92,14.11,17.31,3.55,0.85,62.28,3.45,6.61,,48.14,1.9,312.75,23.1,731.02,500.0,Severe,Jaipur
2021-05-06 23:00:00,403.0775,624.7593,1.27,23.0225,14.40625,17.52,5.24,0.3925,62.385,3.6075,6.28,,47.8025,2.2375,120.675,20.625,729.7075,500.0,Severe,Jaipur
2021-05-23 08:00:00,42.515,704.9155,2.335,27.545,16.12,18.85,9.4525,0.6575,57.4925,0.79,0.7425,,50.3925,0.975,340.4425,475.85,729.9425,500.0,Severe,Jaipur
2021-05-23 09:00:00,35.7375,811.1644,2.15,24.6225,14.0375,18.755,9.075,0.995,63.6,1.1325,1.0225,,42.555,0.5275,238.37,723.75,729.66,500.0,Severe,Jaipur
2021-05-23 10:00:00,32.09,708.24,1.935,25.13,14.63,18.3975,25.8575,1.02,68.68,1.06,0.945,,41.31,1.07,100.4925,770.05,728.4,500.0,Severe,Jaipur
2021-06-01 04:00:00,77.6125,871.6525,0.4675,18.705,9.975,18.16,3.0475,1.3675,65.2925,0.9325,2.02,,55.99,2.04,51.22,18.75,725.185,500.0,Severe,Jaipur
2021-06-01 05:00:00,69.24,671.965,1.0075,21.06,11.965,17.94,1.615,0.795,61.145,0.895,2.11,,55.935,1.68,46.845,22.8,724.58,500.0,Severe,Jaipur
2021-06-21 13:00:00,131.96,641.23,4.31,49.78,29.46,36.51,9.62,1.32,53.38,1.21,2.81,,48.8,0.05,318.635,645.4,725.09,500.0,Severe,Jaipur
2021-06-21 14:00:00,140.9,607.7175,2.8225,46.185,26.365,28.105,4.18,1.0475,62.7175,1.0725,2.475,,40.69,0.065,301.79,739.75,724.3425,500.0,Severe,Jaipur
2021-11-04 23:00:00,417.35,607.76,111.22,157.62,171.54,75.49,23.768078,4.73,12.14,3.52,7.44,,43.43,0.07,4.2,24.7,732.58,500.0,Severe,Jaipur
2021-11-05 00:00:00,412.205,608.25,46.18,146.715,113.69,91.485,28.386347,5.76,11.92,3.16,6.955,,46.455,0.065,4.2,25.2,732.38,500.0,Severe,Jaipur
2021-11-05 01:00:00,494.125,617.625,80.09,127.66,130.93,101.935,25.8825,6.81,10.3175,2.2275,8.49,,52.9275,0.055,69.85125,25.3,732.11,500.0,Severe,Jaipur
2021-11-05 02:00:00,392.52,676.58,66.09,117.605,114.44,101.9275,31.905,3.58,9.42,2.5225,7.1575,,56.675,0.025,197.1925,25.325,731.86,500.0,Severe,Jaipur
2021-11-05 03:00:00,509.8525,598.51,25.995,94.2025,70.065,113.8025,18.0675,1.8125,13.47,2.4025,6.905,,58.5175,0.0725,21.5225,25.675,731.575,500.0,Severe,Jaipur
2022-01-15 13:00:00,60.2,836.16,9.83,47.1875,31.01,51.9,14.7175,0.3225,62.72,1.185,2.24,,87.71,0.8925,164.8175,503.175,734.9275,500.0,Severe,Jaipur
2022-01-15 14:00:00,60.2,836.16,9.83,44.75,29.23,51.69,18.03,0.27,65.17,1.21,2.25,,87.16,1.01,182.3,502.0,734.88,500.0,Severe,Jaipur
2022-01-28 23:00:00,298.3225,623.43,447.13834,115.9575,483.54562,0.11,32.2575,8.41,12.3975,1.6075,2.2525,,75.215,0.07625,81.79,25.7,733.99,500.0,Severe,Jaipur
2022-01-29 00:00:00,370.68,694.49,434.99417,102.035,425.6525,41.975,40.7625,7.525,12.4,0.9275,2.1875,,80.4025,0.0375,88.0475,24.475,733.78,500.0,Severe,Jaipur
2022-01-29 23:00:00,254.635,642.89,461.87708,139.9025,480.0582,17.929737,42.2825,6.4683332,11.875625,1.495,2.01,,73.6825,0.0625,48.65,24.4,733.0875,500.0,Severe,Jaipur
2022-04-13 22:00:00,84.89,631.215,11.8225,60.675,41.1825,93.12,12.51,0.6325,35.1175,1.4475,0.545,,23.2675,0.89,347.6225,18.5,726.4575,500.0,Severe,Jaipur
2022-04-29 09:00:00,522.45416,301.024,16.486,57.493,43.255,71.914,19.327,5.759,31.599,2.311,2.338,,18.817,1.0525,295.855,486.13,729.3,500.0,Severe,Jaipur
2022-04-29 10:00:00,764.99,505.2,11.6225,56.73,38.955,76.2825,25.2025,8.765,39.0325,2.55,2.315,,17.845,1.33375,309.1375,710.375,729.3975,500.0,Severe,Jaipur
