Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2021-03-13 04:00:00,198.57,639.6,7.47,16.97,15.0725,,10.0475,0.4075,34.88,1.215,2.24,,41.2325,0.825,53.6625,11.4325,726.8,500.0,Severe,Jodhpur
2021-03-13 05:00:00,229.2775,726.575,10.2425,24.06,21.0025,,9.675,0.2875,26.2225,1.1925,2.1675,,41.92,0.82,42.35,12.1075,726.675,500.0,Severe,Jodhpur
2021-03-13 06:00:00,254.3,779.5,10.875,31.0175,25.155,,8.295,0.56,25.0475,1.1625,2.1775,,42.6875,0.745,62.5325,13.725,726.3,500.0,Severe,Jodhpur
2021-03-13 07:00:00,208.2875,656.85,20.0625,31.17,32.575,,7.1225,0.2225,20.44,1.21,2.2675,,43.1775,0.855,43.745,51.8825,725.725,500.0,Severe,Jodhpur
2021-03-22 03:00:00,859.4075,279.9,1.8625,3.4975,2.655,,5.2225,0.8225,35.6375,1.0075,2.8725,,31.665,2.6325,177.5,11.42,731.7,500.0,Severe,Jodhpur
2021-03-22 04:00:00,980.68,279.9,2.0075,11.925,6.855,,4.295,1.26,39.0175,0.97,2.82,,32.255,1.105,51.4725,11.8125,731.5,500.0,Severe,Jodhpur
2021-03-22 05:00:00,875.88,177.45,4.2225,15.44,11.0925,,5.68,0.73,32.945,0.9525,2.8525,,33.9525,0.805,76.12,12.4075,731.2,500.0,Severe,Jodhpur
2021-03-23 07:00:00,331.245,951.75,17.555,41.495,35.7475,,7.2875,1.09,18.87,1.21,2.7025,,41.5475,0.5775,120.3225,60.1025,728.075,500.0,Severe,Jodhpur
2021-03-23 08:00:00,259.2975,940.65,26.0125,36.6575,40.2025,,5.0,1.7225,20.665,1.145,2.75,,38.6075,1.025,144.6425,174.8525,727.175,500.0,Severe,Jodhpur
2021-03-23 09:00:00,254.05,924.2,26.9325,35.15,40.15,,8.075,0.3,21.3525,1.2325,2.8075,,34.555,1.005,151.4675,324.0525,726.825,500.0,Severe,Jodhpur
2021-03-23 10:00:00,552.76,919.6,27.62,32.5025,39.285,,6.365,0.77,23.675,1.22,2.9,,31.33,0.67,154.9725,436.605,727.025,500.0,Severe,Jodhpur
2021-03-23 11:00:00,602.4325,919.6,13.92,18.2075,20.86,,9.39,0.13,41.4875,1.26,2.86,,30.045,0.3525,294.3175,568.8375,727.525,500.0,Severe,Jodhpur
2021-03-23 12:00:00,627.3225,931.55,4.925,16.8275,10.9825,,9.045,0.225,53.72,1.1925,2.855,,27.11,0.66,250.8225,640.44,728.15,500.0,Severe,Jodhpur
2021-03-23 13:00:00,405.41,950.67,6.095,16.77,12.7025,,3.055,1.0175,62.865,1.1775,2.6775,,22.825,0.745,265.2475,681.69,728.925,500.0,Severe,Jodhpur
2021-03-23 14:00:00,273.71,966.205,7.4825,11.805,12.2975,,4.6525,1.15,64.8625,1.155,2.89,,21.3975,1.05,306.65,581.8175,729.825,500.0,Severe,Jodhpur
2021-03-23 15:00:00,215.53,714.975,3.2575,13.1125,8.8,,5.36,0.685,54.32,1.18,2.7225,,20.1125,0.975,279.7075,484.335,730.475,500.0,Severe,Jodhpur
2021-03-30 20:00:00,157.81,609.425,7.69,9.445,11.1125,,2.8,1.415,61.4875,1.44,2.62,,14.6975,1.3475,174.995,10.785,735.45,500.0,Severe,Jodhpur
2021-03-30 21:00:00,227.2175,782.825,9.0775,8.53,11.695,,3.4025,1.8575,58.3175,1.38,2.475,,15.0525,1.0975,351.25,11.005,735.0,500.0,Severe,Jodhpur
2021-03-30 22:00:00,330.0375,989.5,18.645,6.93,18.5375,,3.095,1.7725,55.785,1.4075,2.615,,15.1825,1.13,353.4275,11.65,735.05,500.0,Severe,Jodhpur
2021-03-30 23:00:00,460.4,989.5,11.895,3.275,11.1125,,6.8125,0.9525,54.4775,1.39,2.6225,,15.4,1.71,353.8975,11.685,735.0,500.0,Severe,Jodhpur
2021-03-31 00:00:00,362.73,960.1,7.89,3.6775,7.83,,6.4325,0.7675,63.01,1.3925,2.6725,,15.8075,1.605,346.6925,11.16,735.125,500.0,Severe,Jodhpur
2021-03-31 01:00:00,362.77,881.7,10.9175,3.04,10.0425,,6.6475,0.8775,65.445,1.4,2.5275,,16.0425,1.5175,345.065,11.4025,735.55,500.0,Severe,Jodhpur
2021-03-31 02:00:00,265.995,773.825,8.6675,3.175,8.115,,5.995,0.6275,57.14,1.4475,2.59,,16.7175,1.0025,336.08,10.3825,735.95,500.0,Severe,Jodhpur
2021-04-07 04:00:00,87.733635,714.6778,8.4325,14.0475,14.3125,,6.24,1.055,28.62,1.255,2.67,,32.9075,0.9025,64.725,11.7025,731.225,500.0,Severe,Jodhpur
2021-04-07 05:00:00,82.48273,882.3222,8.8025,17.61,16.4725,,7.42,1.06,24.86,1.3075,2.7325,,35.545,1.0675,60.8625,11.6425,730.6,500.0,Severe,Jodhpur
2021-04-07 06:00:00,77.23182,985.75,11.2025,22.1375,20.7625,,4.7075,1.41,25.84,1.3,2.605,,36.3875,0.8975,72.0875,19.3975,729.95,500.0,Severe,Jodhpur
2021-04-07 08:00:00,580.485,226.5,15.805,35.0075,31.1675,,7.5025,0.6625,18.4425,1.3325,2.555,,33.935,0.885,126.275,185.17,728.6,500.0,Severe,Jodhpur
2021-04-07 11:00:00,309.12,912.95416,12.575,30.3325,26.155,,7.0,0.5825,37.86,1.2925,2.5625,,25.0875,0.755,84.155,534.4825,728.35,500.0,Severe,Jodhpur
2021-04-07 12:00:00,426.27,986.9,11.39,30.555,25.32,,6.2425,0.635,39.53,1.31,2.5525,,21.53,1.0375,79.0775,570.4075,729.1,500.0,Severe,Jodhpur
2021-04-07 13:00:00,281.2475,925.0,10.915,30.7975,25.07,,7.5525,0.7825,39.445,1.31,2.545,,19.7575,0.955,76.55,635.58,729.875,500.0,Severe,Jodhpur
2021-04-07 14:00:00,175.68,650.0,8.61,25.63,20.515,,7.845,1.05,44.6325,1.3175,2.6025,,19.375,0.7475,143.535,590.0575,730.5,500.0,Severe,Jodhpur
2021-04-20 07:00:00,268.805,728.6,49.0825,34.2625,57.505,,5.4875,1.99,15.42,1.1025,2.4,,26.3875,0.435,155.1,77.0725,733.825,500.0,Severe,Jodhpur
2021-04-20 08:00:00,236.2175,628.2,18.245,31.66,29.915,,6.245,1.625,14.96,1.11,2.4125,,26.45,0.42,208.405,125.1125,733.25,500.0,Severe,Jodhpur
2021-04-20 16:00:00,174.4,649.65,11.495,8.23,13.7,,9.8425,0.3275,39.585,1.14,2.325,,17.49,2.7825,276.23,273.9275,736.25,500.0,Severe,Jodhpur
2021-04-20 17:00:00,188.2325,737.65,10.795,9.8775,13.8675,,7.2275,0.4175,42.795,1.1275,2.39,,18.32,2.1575,264.4525,136.665,736.5,500.0,Severe,Jodhpur
2021-04-20 22:00:00,205.72,677.325,9.6025,14.07,13.365,,12.0225,0.49,35.0375,1.0,2.6175,,36.845,1.23,37.845,11.21,731.9,500.0,Severe,Jodhpur
2021-04-23 21:00:00,239.11,726.725,11.7975,13.295,16.55,,6.485,0.26,50.3575,0.9075,2.32,,25.925,1.645,40.6275,10.955,731.575,500.0,Severe,Jodhpur
2021-04-23 22:00:00,339.8075,791.125,24.4925,13.7225,26.9675,,7.99,0.1775,38.2725,0.9025,2.3025,,26.73,1.6825,44.095,10.98,731.2,500.0,Severe,Jodhpur
2021-04-23 23:00:00,313.4,694.35,3.9025,7.465,5.2425,,11.7475,0.155,31.3975,0.92,2.2925,,27.4375,1.62,57.7225,11.2025,731.05,500.0,Severe,Jodhpur
2021-04-30 07:00:00,214.62,602.9,17.25,38.79,34.32,,9.35,0.61,24.9,1.5,2.66,,25.235,0.1725,86.81,104.12,731.4,500.0,Severe,Jodhpur
2021-04-30 08:00:00,265.5125,657.0,17.9875,41.12,35.85,,11.4425,0.17,30.4,1.42,2.775,,23.575,0.3375,118.3175,270.8225,730.975,500.0,Severe,Jodhpur
2021-05-02 05:00:00,238.165,665.775,18.5325,34.8625,33.29,,8.57,0.8175,18.15,1.245,2.43,,29.7825,0.075,198.245,11.6225,732.525,500.0,Severe,Jodhpur
2021-05-02 06:00:00,264.055,724.45,27.395,34.6475,40.2625,,6.7875,1.1675,15.5625,1.1975,2.505,,31.035,0.0625,155.45,52.2225,732.025,500.0,Severe,Jodhpur
