Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2019-06-28 10:00:00,4.2775,933.7775,12.36,17.7175,30.135,12.2125,2.195,0.3625,9.635,0.1875,,24.42,98.2825,3.4825,304.37,2.525,850.0,500.0,Severe,Mumbai
2019-06-28 11:00:00,0.39,985.0,35.6975,19.6525,55.435,9.165,2.5525,0.41,5.4975,0.2075,,24.5825,98.51,17.7275,116.6975,0.3,850.0,500.0,Severe,Mumbai
2019-06-28 12:00:00,1.6,985.0,23.53,12.2675,34.6275,11.45,1.985,0.3875,6.8725,0.25,,25.05,98.705,26.26,11.17,2.91,850.0,500.0,Severe,Mumbai
2019-10-24 22:00:00,350.5,752.0,34.07,21.95,56.0225,7.945,3.9825,0.995,1.36,5.0975,,23.2825,96.4225,0.5,132.035,7.1125,,500.0,Severe,Mumbai
2019-10-26 20:00:00,862.855,99.0,283.3825,1.17,283.5275,2.765,10.4925,2.3125,3.525,19.9975,,23.8375,92.3225,0.4,153.845,3.3214445,,500.0,Severe,Mumbai
2019-10-26 21:00:00,957.0,99.0,210.1925,1.3525,204.6075,8.9375,10.4425,2.43,3.105,25.8225,,23.8925,92.84,0.45,150.3525,3.3116667,,500.0,Severe,Mumbai
2020-01-12 00:00:00,,618.1,416.0625,0.2925,422.6075,117.1975,13.8575,4.59,4.155,4.6975,,22.4425,82.445,0.4575,70.75,0.6705435,,500.0,Severe,Mumbai
2020-01-12 01:00:00,,618.1,434.2325,5.03,439.44,109.645,13.7,3.655,4.6075,6.8575,,22.045,81.22,0.435,107.9175,0.81923914,,500.0,Severe,Mumbai
2021-03-28 15:00:00,142.775,615.655,0.9425,10.0475,10.9925,4.865,12.99,0.6,96.355,0.0425,,30.88,76.68,0.9825,192.035,426.415,,500.0,Severe,Mumbai
2021-06-18 22:00:00,51.49,769.1175,7.645,5.18,12.825,8.775,14.3525,0.0525,6.4175,0.1625,,27.7475,89.6525,0.6625,190.115,0.21179487,,500.0,Severe,Mumbai
2021-06-18 23:00:00,52.755,835.0,4.3825,2.0325,6.41,6.9625,13.5875,0.025,6.225,0.06,,27.86,88.785,0.63,176.4125,0.27128205,,500.0,Severe,Mumbai
2021-06-19 00:00:00,44.1675,835.0,3.4425,0.955,4.405,1.33,13.15,0.03,6.725,0.0125,,25.9375,93.4525,0.605,154.08,0.33076924,,500.0,Severe,Mumbai
2021-06-19 01:00:00,59.98,828.27,4.345,1.49,5.8425,3.6,14.14,0.045,6.3925,0.01,,25.945,96.5775,0.6825,135.45,0.3902564,,500.0,Severe,Mumbai
2021-06-19 02:00:00,67.56,817.502,3.8175,1.03,4.85,0.595,13.9375,0.0675,6.43,0.02,,25.44,95.2425,0.705,153.4575,0.4497436,,500.0,Severe,Mumbai
2021-06-19 03:00:00,33.88,806.734,3.8625,1.6625,5.5225,0.7225,14.0525,0.0925,6.68,0.01,,24.1225,96.4175,0.7125,153.295,0.48692307,,500.0,Severe,Mumbai
2021-06-19 04:00:00,28.195,795.966,4.17,1.475,5.65,0.57,13.4275,0.0875,6.3925,0.0075,,24.0825,96.4825,0.625,167.3575,,,500.0,Severe,Mumbai
2021-06-19 05:00:00,29.5675,785.198,5.17,2.185,7.3575,0.43,13.515,0.08,6.755,0.0125,,24.005,97.59,0.73,152.925,,,500.0,Severe,Mumbai
2021-06-19 06:00:00,31.8775,774.43,6.7275,2.46,9.18,0.41607141,13.1325,0.1225,6.385,0.01,,23.715,97.9975,0.6075,146.9075,0.71,,500.0,Severe,Mumbai
2021-07-16 07:00:00,705.755,26.0,28.2975,3.215,31.52,12.2125,6.1175,0.39,22.595,0.02,,24.4525,99.9,32.4475,146.245,1.4925,,500.0,Severe,Mumbai
