Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2023-11-13 01:00:00,443.5675,710.325,14.2925,36.0075,29.0675,24.4775,10.6575,1.515,3.6425,8.38,28.675,26.12,75.64,0.28,254.2675,24.825,,500.0,Severe,Mumbai suburbs
2023-11-13 02:00:00,448.045,611.345,4.0175,26.9875,16.11,20.665,11.6875,1.02,7.65,9.265,29.6225,26.6925,68.41,0.46,176.6525,24.7,,500.0,Severe,Mumbai suburbs
2024-02-09 13:00:00,218.4925,608.795,1.2825,14.5925,7.5875,17.56,1.3975,,46.845,1.195,5.13,29.5675,56.1,3.1,251.6675,661.95,,500.0,Severe,Mumbai suburbs
2024-04-28 17:00:00,75.62,883.825,0.285,8.5525,4.6975,10.455,13.0875,0.2025,124.5625,0.735,1.545,37.2325,43.7425,3.85,279.4875,178.9,,500.0,Severe,Mumbai suburbs
2024-04-28 18:00:00,72.655,622.2725,0.2225,9.5875,5.1875,10.57,12.0075,0.2125,110.0025,0.655,1.525,36.48,43.2725,2.93,293.7025,56.575,,500.0,Severe,Mumbai suburbs
2023-10-22 07:00:00,119.0725,596.8175,12.32,34.685,26.995,22.3275,2.62,0.8025,13.735,6.085,30.8675,29.52,66.7025,0.745,102.8725,106.7,,498.1,Severe,Mumbai suburbs
2023-11-04 18:00:00,86.035,596.0475,2.6675,39.5,21.5625,21.2975,4.905,0.5275,19.03,2.5975,10.1675,31.23,60.9475,0.9875,278.3075,25.975,,497.7,Severe,Mumbai suburbs
2023-11-04 19:00:00,88.435,586.985,1.4675,29.1675,15.205,18.665,4.4075,0.8575,32.27,4.53,22.8425,29.9325,66.325,1.3675,287.4325,25.075,,492.4,Severe,Mumbai suburbs
2024-04-29 19:00:00,55.7775,574.94,1.0675,25.93,14.405,11.4325,2.805,0.3325,36.61,0.7325,1.7925,36.0325,35.1925,1.77,286.305,25.075,,485.4,Severe,Mumbai suburbs
2024-03-16 18:00:00,49.89,568.5975,0.1375,6.915,3.72,14.31,4.39,0.245,94.7825,0.2875,10.485,28.2925,60.7975,1.59,241.81,56.6,,481.7,Severe,Mumbai suburbs
2024-04-29 18:00:00,67.4675,563.2175,0.205,11.6675,6.2625,8.9325,1.695,0.085,55.53,1.1925,0.935,37.585,30.9575,2.985,283.8475,63.2,,478.6,Severe,Mumbai suburbs
2023-11-13 00:00:00,385.98,510.4,14.68,32.12,27.3425,22.9475,9.6175,1.3825,5.2775,9.41,30.9675,26.1775,75.0725,0.5275,214.6075,24.95,,454.8,Severe,Mumbai suburbs
2025-04-04 15:00:00,41.53909,522.13776,5.668864,8.271363,8.777045,24.663181,0.51204544,0.0225,39.142693,1.67475,7.083,33.07475,54.08675,0.8585,276.00275,236.5875,,454.7,Severe,Mumbai suburbs
2024-04-27 23:00:00,79.025,521.345,0.67,15.535,8.6525,11.96,4.7575,0.4325,56.1125,3.1725,11.9175,32.36,65.3825,1.6825,283.8475,24.325,,454.2,Severe,Mumbai suburbs
2023-11-12 22:00:00,350.4675,509.005,2.95,35.5425,19.7275,19.53,9.285,1.1375,15.96,9.0125,23.3625,27.1975,70.1825,0.485,198.8425,25.1,,447.0,Severe,Mumbai suburbs
2024-05-13 16:00:00,25.765,505.3975,3.1925,15.54,9.945,11.715,3.7225,0.5425,67.9975,0.4425,2.4375,32.885,54.8175,2.165,144.4975,261.75,,444.9,Severe,Mumbai suburbs
2023-10-23 09:00:00,118.91,501.41,13.9225,36.4425,28.9875,19.3925,3.9225,0.68,19.5675,3.4,20.1325,32.11,55.935,0.515,78.52,244.2,,442.6,Severe,Mumbai suburbs
2023-10-23 10:00:00,118.91,501.41,5.5275,26.115,17.065,17.125,4.875,0.665,31.42,3.81,18.63,33.4725,54.16,0.5325,69.68,544.275,,442.6,Severe,Mumbai suburbs
2024-02-25 08:00:00,71.375,496.5225,1.1975,9.175,5.555,26.5075,8.5825,0.8575,23.1475,10.9025,20.7375,24.3825,42.6375,0.6425,315.3725,197.5,,439.7,Severe,Mumbai suburbs
2023-11-12 23:00:00,325.98,493.9275,4.2125,32.8475,19.33,19.8125,9.0025,1.1875,13.5025,8.555,23.0825,26.6175,73.0125,0.485,146.1,25.025,,438.2,Severe,Mumbai suburbs
2025-04-04 16:00:00,55.6,492.575,4.3025,15.8425,11.725,27.94,1.615,0.0,24.0325,1.5925,8.645,31.445,36.355,0.48,132.4375,74.85,,437.4,Severe,Mumbai suburbs
2025-10-20 23:00:00,54.755,488.4475,1.7875,9.925,6.62,6.7825,4.0525,0.5825,14.5575,,,25.68,86.265,0.9075,59.3625,0.0,,435.0,Severe,Mumbai suburbs
2024-03-01 00:00:00,325.3425,450.165,1.225,9.395,5.5475,23.7225,5.8775,1.025,36.225,7.8075,18.155,26.835,71.55,0.9475,313.2025,24.65,,430.8,Severe,Mumbai suburbs
2024-03-16 19:00:00,51.8025,465.97,0.3275,14.0125,7.58,15.2925,3.91,0.3825,67.47,0.66,10.1525,26.9675,65.23,0.67,251.3575,24.55,,421.9,Severe,Mumbai suburbs
2024-11-01 01:00:00,282.635,360.3775,4.35,23.6025,15.8175,8.405,8.1875,0.4975,4.0175,5.3075,11.23,29.62,73.6625,1.0725,197.5475,0.0,,413.9,Severe,Mumbai suburbs
2024-11-01 00:00:00,278.565,347.795,8.7975,36.7475,26.2575,3.9825,6.7825,0.7025,4.235,6.175,13.385,30.485,71.4625,0.805,225.195,0.0,,412.3,Severe,Mumbai suburbs
2024-02-29 09:00:00,159.6325,446.4825,1.2075,9.255,5.63,31.435,8.28,1.365,31.87,14.835,33.775,29.325,58.3975,0.875,244.4675,263.0,,410.6,Severe,Mumbai suburbs
2024-01-29 00:00:00,225.0325,445.5325,6.5075,37.15,23.5625,25.335,5.96,1.3675,1.545,12.1375,26.7075,22.245,68.7025,0.4625,240.155,24.85,,410.0,Severe,Mumbai suburbs
2024-05-01 19:00:00,27.2825,444.36,0.19,6.0375,3.305,10.8875,4.6675,0.1875,79.0475,0.1625,1.1625,31.4625,60.685,1.1025,236.1575,24.675,,409.4,Severe,Mumbai suburbs
2024-11-02 03:00:00,270.75,325.73,9.7525,24.67,20.7125,4.6625,7.9,0.9975,2.78,6.6275,13.865,29.455,78.99,1.4425,128.1,0.0,,409.2,Severe,Mumbai suburbs
2024-11-02 04:00:00,264.55,307.555,2.4775,18.2525,11.5225,10.1075,5.745,0.53,11.965,5.14,13.265,30.6225,72.11,1.695,86.6875,0.0,,406.8,Severe,Mumbai suburbs
2024-02-25 09:00:00,72.7825,436.75,1.2025,9.375,5.465,15.0625,11.645,0.495,58.445,5.2225,9.0325,28.4375,31.8325,0.715,45.67,284.7,,404.9,Severe,Mumbai suburbs
2024-04-28 15:00:00,72.8575,434.15,0.295,8.9425,4.915,11.1825,15.0125,0.2425,138.2675,1.4775,2.835,37.9175,45.95,4.41,276.045,550.775,,403.4,Severe,Mumbai suburbs
2023-11-28 04:00:00,252.06,270.6,13.105,23.93,21.8,23.43,3.9825,0.815,0.415,8.6475,90.2175,25.9375,84.8475,0.7225,310.9125,25.225,,401.8,Severe,Mumbai suburbs
2023-11-28 03:00:00,251.72,280.89,5.635,27.76,17.8125,22.1825,3.6975,0.86,0.9725,6.1125,52.6325,26.0525,84.7275,0.3775,127.77,25.075,,401.7,Severe,Mumbai suburbs
2024-11-02 02:00:00,249.2775,292.2125,6.6125,29.5325,20.7325,3.335,6.075,0.96,2.095,5.8475,12.9,29.8475,79.0225,1.4775,196.39,0.0,,399.4,Very Poor,Mumbai suburbs
2023-11-28 05:00:00,247.7125,266.22607,6.82,24.8875,17.2575,21.9875,3.15,0.645,1.3925,6.4575,67.5,25.7375,85.145,0.4575,250.625,25.2,,398.3,Very Poor,Mumbai suburbs
2023-10-23 11:00:00,117.16,425.1625,3.965,19.8825,12.555,14.84,5.9525,0.6075,39.9425,2.88,15.975,34.84,48.7325,0.4275,70.61,634.975,,394.0,Very Poor,Mumbai suburbs
2024-10-31 23:00:00,236.64,298.6925,21.925,41.0425,39.0225,1.0075,5.8225,1.065,1.5375,7.8625,14.6775,30.8575,74.6225,1.3125,309.085,0.0,,389.8,Very Poor,Mumbai suburbs
2024-11-01 02:00:00,234.8725,304.3725,8.71,24.1125,19.58,4.1525,6.915,0.57,3.4625,4.9275,9.41,29.325,71.7875,1.0525,200.5775,0.0,,388.5,Very Poor,Mumbai suburbs
2024-05-08 18:00:00,29.0675,418.245,1.085,3.28,1.8525,9.6625,2.9225,0.45,39.91,0.215,2.1475,32.48,70.2175,2.5825,252.1925,63.8,,385.5,Very Poor,Mumbai suburbs
2024-04-28 16:00:00,75.87,417.0775,0.3175,8.5425,4.7175,10.8675,15.295,0.2075,134.4575,1.0025,2.05,37.5875,44.6275,4.54,279.2275,370.6,,384.0,Very Poor,Mumbai suburbs
2023-11-28 02:00:00,223.635,244.7,20.805,20.2225,26.0375,22.98,3.8075,0.755,0.5825,6.295,23.345,26.0925,84.605,0.4625,180.025,25.375,,379.9,Very Poor,Mumbai suburbs
2024-12-01 02:00:00,221.96,264.06,14.8675,55.9225,41.1425,6.12,2.385,0.925,1.1375,11.38,25.5475,23.805,74.6975,1.3775,162.74,0.0,,378.6,Very Poor,Mumbai suburbs
2023-11-13 03:00:00,220.895,367.1575,3.175,19.83,11.6975,18.19,13.6625,0.6175,23.3525,4.43,14.07,28.1125,58.185,0.485,107.055,24.575,,377.8,Very Poor,Mumbai suburbs
2024-04-08 19:00:00,48.475,410.9375,0.3075,6.4175,3.6,11.365,2.2925,0.2525,51.5675,0.2425,0.855,30.9175,73.5225,1.0825,213.145,24.575,,376.4,Very Poor,Mumbai suburbs
2023-11-28 01:00:00,213.09,245.765,20.68,11.765,21.52,22.2625,4.1575,1.085,0.54,7.4275,38.04,25.86,84.1325,0.5425,261.265,25.275,,371.9,Very Poor,Mumbai suburbs
2023-11-05 18:00:00,95.025,405.035,1.37,23.6025,12.22,17.2975,5.16,0.8275,82.395,7.1,4.5025,30.2025,67.6725,0.9625,289.28,25.375,,369.1,Very Poor,Mumbai suburbs
2024-11-02 01:00:00,205.015,237.365,11.2875,28.785,24.09,3.1925,5.97,0.9375,2.51,4.985,10.79,29.8975,78.215,1.345,238.1275,0.0,,365.7,Very Poor,Mumbai suburbs
2024-04-28 19:00:00,71.5875,401.925,0.23,16.33,8.715,11.3575,8.7575,0.35,78.89,0.7925,1.8175,35.525,45.12,1.36,305.575,25.075,,365.3,Very Poor,Mumbai suburbs
2024-10-25 07:00:00,,,,,,0.6125,,,,,,29.7475,76.3975,0.95,243.1775,0.0,,0.2,Good,Mumbai suburbs
2024-10-25 08:00:00,,,,,,3.9875,,,,,,31.8475,67.0975,1.315,216.5225,26.35,,1.0,Good,Mumbai suburbs
2024-07-08 04:00:00,,,,,,4.565,,,,,,28.905,83.1325,1.0,188.9675,0.0,,1.1,Good,Mumbai suburbs
2024-07-08 05:00:00,,,,,,4.48,,,,,,28.5525,83.435,0.58,98.02,0.0,,1.1,Good,Mumbai suburbs
2024-07-08 06:00:00,,,,,,4.5425,,,,,,28.935,83.5675,0.5175,94.82,0.0,,1.1,Good,Mumbai suburbs
2024-07-08 08:00:00,,,,,,4.4925,,,,,,29.4825,83.7875,1.26,152.75,0.0,,1.1,Good,Mumbai suburbs
2024-07-08 09:00:00,,,,,,4.2675,,,,,,29.3725,83.7875,1.7575,183.66,0.0,,1.1,Good,Mumbai suburbs
2024-07-08 10:00:00,,,,,,4.285,,,,,,29.235,83.7425,0.83,246.31,0.0,,1.1,Good,Mumbai suburbs
2024-07-08 11:00:00,,,,,,4.28,,,,,,29.235,83.9,1.1725,216.1425,14.45,,1.1,Good,Mumbai suburbs
2024-07-08 03:00:00,,,,,,4.93,,,,,,29.585,81.75,0.93,88.92,0.0,,1.2,Good,Mumbai suburbs
2024-07-08 07:00:00,,,,,,4.7175,,,,,,28.9925,83.685,0.805,130.8275,0.0,,1.2,Good,Mumbai suburbs
2024-10-25 05:00:00,,,,,,4.96,,,,,,29.5975,76.6475,1.0325,107.69,0.0,,1.2,Good,Mumbai suburbs
2024-07-07 15:00:00,,,,,,5.31,,,,,,33.265,73.545,2.3575,207.1125,105.375,,1.3,Good,Mumbai suburbs
2024-07-07 16:00:00,,,,,,5.3025,,,,,,33.1125,73.7475,2.295,199.5775,79.825,,1.3,Good,Mumbai suburbs
2024-07-07 18:00:00,,,,,,5.2675,,,,,,31.58,78.8225,1.2125,168.89,0.0,,1.3,Good,Mumbai suburbs
2024-07-07 19:00:00,,,,,,5.3225,,,,,,31.3575,78.0625,1.4,189.3975,0.0,,1.3,Good,Mumbai suburbs
2024-07-07 20:00:00,,,,,,5.1475,,,,,,31.6275,78.66,1.04,169.1475,0.0,,1.3,Good,Mumbai suburbs
2024-07-07 21:00:00,,,,,,5.085,,,,,,31.91,77.915,1.5225,205.885,0.0,,1.3,Good,Mumbai suburbs
2024-07-07 22:00:00,,,,,,5.095,,,,,,32.0875,77.2125,1.25,214.3775,0.0,,1.3,Good,Mumbai suburbs
2024-07-07 23:00:00,,,,,,5.1325,,,,,,32.0975,77.77,1.485,219.1875,0.0,,1.3,Good,Mumbai suburbs
2024-07-08 00:00:00,,,,,,5.0625,,,,,,32.205,76.4725,1.8525,227.4175,0.0,,1.3,Good,Mumbai suburbs
2024-07-08 01:00:00,,,,,,5.055,,,,,,32.2425,76.235,1.845,242.84,0.0,,1.3,Good,Mumbai suburbs
2024-07-08 02:00:00,,,,,,5.115,,,,,,31.5825,76.6925,1.52,208.8575,0.0,,1.3,Good,Mumbai suburbs
2024-10-25 06:00:00,,,,,,5.2925,,,,,,29.085,77.8275,0.6,223.6225,0.0,,1.3,Good,Mumbai suburbs
2024-11-27 03:00:00,,,,,,5.3625,,,,,,23.7375,65.215,1.2825,123.4525,0.0,,1.3,Good,Mumbai suburbs
2024-07-07 07:00:00,,,,,,5.6225,,,,,,31.2475,80.3325,2.125,184.2825,0.0,,1.4,Good,Mumbai suburbs
2024-07-07 08:00:00,,,,,,5.475,,,,,,31.285,80.795,2.1475,187.2025,0.0,,1.4,Good,Mumbai suburbs
2024-07-07 09:00:00,,,,,,5.7125,,,,,,31.6575,80.0925,1.56,176.2775,26.825,,1.4,Good,Mumbai suburbs
2024-07-07 10:00:00,,,,,,5.5875,,,,,,32.85,76.11,2.5825,202.4025,246.25,,1.4,Good,Mumbai suburbs
2024-07-07 11:00:00,,,,,,5.6025,,,,,,33.05,74.41,2.295,197.17,115.325,,1.4,Good,Mumbai suburbs
2024-07-07 12:00:00,,,,,,5.48,,,,,,32.7825,76.2025,2.3775,209.6525,198.075,,1.4,Good,Mumbai suburbs
2024-07-07 13:00:00,,,,,,5.445,,,,,,32.9875,74.775,2.5625,209.82,183.25,,1.4,Good,Mumbai suburbs
2024-07-07 14:00:00,,,,,,5.4025,,,,,,33.1925,73.645,2.37,216.4425,150.15,,1.4,Good,Mumbai suburbs
2024-07-07 17:00:00,,,,,,5.4025,,,,,,31.1825,76.89,1.6225,183.0575,0.0,,1.4,Good,Mumbai suburbs
2024-11-27 08:00:00,,,,,,6.2075,,,,,,27.9625,46.495,1.7675,105.6075,0.0,,1.6,Good,Mumbai suburbs
2024-11-27 06:00:00,,,,,,7.0,,,,,,25.87,51.59,0.625,140.4175,0.0,,1.8,Good,Mumbai suburbs
2024-10-25 09:00:00,,,,,,7.47,,,,,,33.035,63.49,1.905,228.3575,42.575,,1.9,Good,Mumbai suburbs
2024-10-25 10:00:00,,,,,,7.68,,,,,,35.06,53.7025,1.215,261.265,319.025,,1.9,Good,Mumbai suburbs
2024-11-27 09:00:00,,,,,,8.2425,,,,,,29.97,42.5875,1.9275,113.845,131.425,,2.1,Good,Mumbai suburbs
2024-11-27 02:00:00,,,,,,8.9875,,,,,,23.7725,67.3125,1.35,78.165,0.0,,2.2,Good,Mumbai suburbs
2024-11-27 05:00:00,,,,,,12.535,,,,,,25.81,52.0775,0.99,118.46,0.0,,3.1,Good,Mumbai suburbs
2024-11-27 07:00:00,,,,,,12.5625,,,,,,24.325,57.775,0.7275,218.755,0.0,,3.1,Good,Mumbai suburbs
2024-11-27 01:00:00,,,,,,14.43,,,,,,24.6275,64.025,1.145,182.945,0.0,,3.6,Good,Mumbai suburbs
2024-11-27 04:00:00,,,,,,15.0975,,,,,,24.775,57.9375,0.9675,184.4925,0.0,,3.8,Good,Mumbai suburbs
2025-08-19 11:00:00,5.4183,7.1023,0.24,4.46,2.3325,2.585,1.2025,0.2325,6.0125,5.0075,10.2325,23.9575,93.145,1.065,301.9525,1.25,,11.6,Good,Mumbai suburbs
2025-08-17 00:00:00,7.19,7.31,0.49,7.7525,4.445,16.605,0.1375,0.29,6.0475,5.02,10.135,23.605,93.1625,0.52,264.6675,0.0,,14.5,Good,Mumbai suburbs
2025-08-19 14:00:00,8.995,10.115,1.03,7.2075,4.59,1.6825,0.33,0.2775,6.0525,5.0225,10.14,24.0075,92.78,1.04,265.6725,9.65,,15.0,Good,Mumbai suburbs
2023-09-20 18:00:00,7.2325,14.995,2.4175,2.435,2.1975,7.8275,3.32,0.305,14.4,1.495,0.7975,28.7775,77.64,1.3075,166.475,51.1,,15.2,Good,Mumbai suburbs
2025-08-20 10:00:00,8.1,8.39,1.665,5.9025,4.415,4.9975,0.2025,0.3075,6.13,5.0575,10.0625,24.975,90.975,1.11,241.945,72.525,,15.4,Good,Mumbai suburbs
2025-06-16 03:00:00,9.29,11.15,1.0275,10.1975,6.15,11.0225,,0.2775,10.605,1.0325,10.1225,25.3075,93.1625,0.87,145.3875,0.0,,15.5,Good,Mumbai suburbs
2023-08-02 21:00:00,29.09,59.32,1.2625,3.2925,1.3425,5.7875,2.65,0.15,15.47,10.3775,3.7975,28.73,76.6075,2.46,203.785,42.55,,60.1,Satisfactory,Mumbai suburbs
2023-08-06 05:00:00,20.5075,61.8875,1.205,2.73,1.0,6.035,1.4725,0.1625,10.255,8.77,3.135,28.7125,75.41,2.55,199.4525,42.75,,62.6,Satisfactory,Mumbai suburbs
2025-01-06 20:00:00,69.445,105.7125,2.7325,52.54,29.64,8.745,6.795,0.845,73.3225,7.0125,26.86,22.5675,61.265,0.88,281.1675,0.0,,132.2,Moderate,Mumbai suburbs
2024-08-03 06:00:00,12.415,34.08,1.2,1.715,0.77,6.365,2.94,0.265,15.75,0.04,1.52,30.6975,77.8975,2.905,198.885,0.0,,34.1,Good,Mumbai suburbs
2025-01-31 21:00:00,27.1575,45.905,9.905,47.4575,32.735,9.4225,5.8075,0.45,1.365,3.21,39.46,23.16,51.7425,0.455,120.5625,0.0,,60.1,Satisfactory,Mumbai suburbs
2025-02-20 00:00:00,74.5375,138.24,33.5875,46.7875,123.1375,13.2225,7.1325,0.95,12.4175,9.3425,46.71,24.4275,49.4175,0.4925,164.7325,0.0,,149.0,Moderate,Mumbai suburbs
2024-02-18 00:00:00,130.7425,178.34,12.2875,49.0625,34.5275,31.77,5.11,1.4875,2.0725,14.8025,45.455,24.735,76.035,0.5325,167.44,24.85,,309.2,Very Poor,Mumbai suburbs
2023-10-09 23:00:00,79.1125,123.366875,1.531875,12.505,6.751875,10.77125,3.356875,0.693125,49.5475,3.75625,17.290625,28.90125,79.688126,0.909375,290.27875,41.6625,,164.1,Moderate,Mumbai suburbs
2023-11-20 13:00:00,59.585,135.65,3.805,23.7575,14.25,19.0875,7.6375,0.5625,59.4075,1.765,6.765,35.8975,41.96,0.8125,110.0425,519.125,,124.5,Moderate,Mumbai suburbs
2025-08-13 02:00:00,11.4925,40.325,16.0625,6.255,16.15,40.0025,1.73,0.63,3.6125,5.0,10.165,24.8,93.18,0.8975,180.105,0.0,,40.3,Good,Mumbai suburbs
2024-10-10 18:00:00,23.41,56.7275,1.24,10.86,5.6775,15.47,2.5625,0.5525,55.5675,1.765,7.355,31.745,74.3925,2.5075,278.05,0.0,,57.6,Satisfactory,Mumbai suburbs
2024-08-19 07:00:00,25.8275,60.1825,7.2575,7.685,8.445,21.995,1.5675,0.455,2.61,1.675,12.69,31.155,79.4225,1.18,292.675,0.0,,61.0,Satisfactory,Mumbai suburbs
2023-12-27 04:00:00,65.895,159.8925,18.165,50.7575,40.02,27.8375,0.9175,0.7625,0.0725,4.37,17.5175,22.6525,76.705,0.38,304.0575,24.95,,140.5,Moderate,Mumbai suburbs
2025-08-22 10:00:00,13.1625,27.7125,4.3575,6.1225,6.6925,7.365,0.075,0.5575,5.825,4.9225,10.0575,27.175,79.53,0.95,248.5625,314.85,,27.9,Good,Mumbai suburbs
2025-11-02 08:00:00,10.745,54.07,5.8925,11.5825,10.775,10.15,3.6725,0.5975,26.1175,3.1975,53.2175,25.8925,87.4625,0.44,182.0575,80.45,,55.0,Satisfactory,Mumbai suburbs
2024-07-10 20:00:00,13.0025,32.69,7.565,11.2775,10.87,5.455,2.94,0.5,25.5175,0.24,5.4325,28.8925,81.5625,0.97,152.92,0.0,,32.7,Good,Mumbai suburbs
