Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2016-05-29 13:00:00,13.7325,830.4875,2.3875,14.615,9.44,19.745,2.74,0.4525,95.075,0.355,2.23,,24.65,0.8325,211.94,710.875,,500.0,Severe,Nagpur
2017-01-19 04:00:00,999.99,134.915,9.6325,24.2775,20.4125,,2.155,0.935,10.7825,9.89,33.97,,86.1775,0.42,246.78,0.0,,500.0,Severe,Nagpur
2017-01-19 05:00:00,977.045,118.45,5.705,14.4925,12.1525,,3.085,0.5625,15.0125,5.12,16.4825,,89.305,0.335,239.35,0.0,,500.0,Severe,Nagpur
2017-01-19 06:00:00,800.1125,110.365,9.08,19.9475,17.705,,2.8875,0.8025,5.27,4.5125,12.4125,,88.12,0.4025,246.1175,0.0,,500.0,Severe,Nagpur
2017-04-08 07:00:00,89.775,918.675,4.3575,13.1775,10.3775,,7.5175,0.835,52.98,1.6225,5.335,,31.35,0.4875,215.9425,34.6,,500.0,Severe,Nagpur
2017-04-08 08:00:00,93.8425,609.5125,4.1525,12.3175,9.765,,16.1075,1.0125,91.5,3.1075,10.3725,,29.69,0.485,261.39,182.35,,500.0,Severe,Nagpur
2017-07-25 13:00:00,999.99,90.43,2.0275,4.02,2.29,,20.2475,0.2,26.5425,4.12,24.795,,66.2275,1.0775,218.345,497.15,,500.0,Severe,Nagpur
2017-07-25 14:00:00,750.565,77.355,3.055,3.625,3.895,,1.585,1.0525,31.5775,4.3975,23.6825,,65.0875,0.815,201.3575,510.2,,500.0,Severe,Nagpur
2018-09-03 13:00:00,623.8725,33.37,13.23,27.875,24.97,5.595,4.3375,1.14,26.8425,5.0125,23.11,,74.0775,3.5225,218.66,381.275,,500.0,Severe,Nagpur
2018-11-23 10:00:00,505.61,89.97,10.17,23.68,20.03,6.65,10.77,0.81,0.96,3.87,62.24,,47.28,0.62,78.02,313.4,,500.0,Severe,Nagpur
