Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2015-07-13 14:00:00,883.875,158.685,9.9575,35.385,45.3425,,22.1175,0.485,12.4425,0.07,1.795,,,,,,,500.0,Severe,Pune
2015-07-16 16:00:00,52.37,1000.0,10.7975,39.6625,50.46,,24.7875,0.5375,13.495,0.055,2.3175,,58.2875,2.0725,22.625,241.995,850.0,500.0,Severe,Pune
2015-07-17 14:00:00,756.0,116.2575,9.51,37.9625,47.4725,,23.725,0.025,11.8875,0.075,1.9325,,52.7275,2.795,23.67,427.01,850.0,500.0,Severe,Pune
2015-07-17 15:00:00,1000.0,103.9825,9.2125,38.5125,47.725,,24.0675,0.01,11.52,0.0375,1.31,,55.0675,2.2,23.3625,298.9,850.0,500.0,Severe,Pune
2015-08-20 14:00:00,44.215,895.125,9.625,41.2775,50.9025,,25.8025,0.705,12.03,0.05,1.295,,43.39,2.6275,17.815,483.04,850.0,500.0,Severe,Pune
2015-09-22 13:00:00,25.2225,886.625,10.475,47.4,57.87,,29.625,0.6625,13.095,0.0525,1.15,,43.5025,2.0225,17.475,597.4575,850.0,500.0,Severe,Pune
2015-10-08 14:00:00,535.0,600.0,9.93,44.45,52.26,,27.78,1.09,12.41,0.32,2.91,,28.67,0.94,17.85,283.47,850.0,500.0,Severe,Pune
2015-10-08 15:00:00,522.8,599.2,9.96375,44.424,52.3205,,27.76375,1.0935,12.45225,0.319,2.902,,28.84075,0.9235,17.83575,276.6825,850.0,500.0,Severe,Pune
2015-10-22 20:00:00,608.1275,923.875,9.445,64.3325,73.7775,,40.21,3.165,11.805,1.3825,9.9375,,57.32,1.1375,16.9025,0.035,850.0,500.0,Severe,Pune
2015-11-03 16:00:00,761.5,96.0,12.16,65.755,76.44,,41.095,0.85,15.2,0.14,1.74,,27.4,0.945,17.55,159.33,850.0,500.0,Severe,Pune
2015-11-03 17:00:00,1000.0,891.0,9.78,54.725,64.505,,34.2,2.69,12.225,0.34,3.0375,,37.415,0.2875,17.22,28.9,850.0,500.0,Severe,Pune
2015-11-11 21:00:00,917.25,935.75,10.58,82.03,92.605,,51.265,4.5075,13.22,1.035,6.705,,53.14,0.2875,16.6525,0.04,850.0,500.0,Severe,Pune
2015-11-11 22:00:00,1000.0,1000.0,10.3925,86.635,97.0275,,54.15,5.1675,12.9925,1.265,7.435,,56.385,0.285,16.625,0.01,850.0,500.0,Severe,Pune
2015-11-11 23:00:00,1000.0,1000.0,9.7125,85.4575,95.17,,53.4125,4.76,12.1375,1.2125,7.66,,58.6625,0.28,16.59,0.01,850.0,500.0,Severe,Pune
2015-11-12 00:00:00,1000.0,1000.0,9.7725,78.8925,88.665,,49.3075,3.635,12.2175,1.11,6.885,,56.2225,0.575,16.58,0.0975,850.0,500.0,Severe,Pune
2015-11-12 01:00:00,485.0,736.0,10.05,76.5725,86.6175,,47.855,3.0525,12.56,0.7775,5.3,,54.9925,0.645,16.68,0.07,850.0,500.0,Severe,Pune
2015-11-12 22:00:00,421.15,611.1275,10.12,60.9775,71.0975,,38.1125,1.65,12.6475,0.645,4.66,,58.4725,0.635,16.835,0.0175,850.0,500.0,Severe,Pune
