Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2017-12-13 19:00:00,311.5,668.0,,,,,,,,1.975,,,,,,,,500.0,Severe,Singrauli
2017-12-20 19:00:00,377.25,691.0,,,,,,,,1.85,,,,,,,,500.0,Severe,Singrauli
2017-12-20 20:00:00,325.5,608.25,,,,,,,,1.975,,,,,,,,500.0,Severe,Singrauli
2017-12-28 18:00:00,419.25,741.25,,,,,,,,3.25,,,,,,,,500.0,Severe,Singrauli
2017-12-28 19:00:00,569.5,873.25,,,,,,,,2.25,,,,,,,,500.0,Severe,Singrauli
2017-12-29 18:00:00,343.75,612.25,,,,,,,,3.625,,,,,,,,500.0,Severe,Singrauli
2017-12-29 19:00:00,572.75,873.5,,,,,,,,3.175,,,,,,,,500.0,Severe,Singrauli
2017-12-30 19:00:00,347.25,659.0,,,,,,,,2.275,,,,,,,,500.0,Severe,Singrauli
2018-01-01 08:00:00,329.25,618.5,,68.025,,33.175,4.95,2.1475,4.675,2.1,,,,,,,,500.0,Severe,Singrauli
2018-01-03 08:00:00,520.75,701.75,,51.1,,30.825,7.55,2.7025,5.05,2.75,,,,,,,,500.0,Severe,Singrauli
2018-01-04 19:00:00,434.5,733.5,,90.45,,31.075,167.8,2.945,5.35,2.125,,,,,,,,500.0,Severe,Singrauli
2018-01-05 19:00:00,444.0,820.75,,76.775,,21.95,43.65,2.3975,6.175,2.55,,,,,,,,500.0,Severe,Singrauli
2018-01-05 20:00:00,292.5,610.0,,52.925,,12.325,18.175,1.2075,10.35,0.775,,,,,,,,500.0,Severe,Singrauli
2018-01-17 11:00:00,761.0,163.0,,31.525,,21.7,51.95,0.4075,39.975,0.3,,,,,,,,500.0,Severe,Singrauli
2018-01-17 13:00:00,91.0,792.75,,41.725,,20.375,62.725,0.5175,39.575,0.375,,,,,,,,500.0,Severe,Singrauli
2018-01-18 20:00:00,985.0,371.75,,79.525,,20.675,25.275,2.56,4.7,1.325,,,,,,,,500.0,Severe,Singrauli
2018-01-18 21:00:00,985.0,470.0,,74.675,,16.9,21.4,1.6125,4.425,1.25,,,,,,,,500.0,Severe,Singrauli
2018-01-18 22:00:00,985.0,380.5,,69.625,,17.85,21.75,1.9025,4.575,1.15,,,,,,,,500.0,Severe,Singrauli
2018-01-18 23:00:00,985.0,299.75,,67.35,,18.05,18.575,1.78,4.575,1.075,,,,,,,,500.0,Severe,Singrauli
2018-01-19 00:00:00,985.0,276.0,,52.125,,19.8,11.0,1.8975,4.575,0.975,,,,,,,,500.0,Severe,Singrauli
2018-01-19 01:00:00,985.0,308.25,,50.0,,19.225,10.725,1.815,4.45,1.2,,,,,,,,500.0,Severe,Singrauli
2018-01-19 02:00:00,985.0,299.0,,43.675,,18.575,9.35,1.385,4.275,1.15,,,,,,,,500.0,Severe,Singrauli
2018-01-19 03:00:00,985.0,252.5,,43.25,,18.7,8.925,1.535,7.775,1.025,,,,,,,,500.0,Severe,Singrauli
