Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2022-11-23 13:00:00,768.2675,,1.8,19.3325,11.745,,3.8,0.6775,,,,31.47,34.16,2.8175,154.74,403.9175,850.0,500.0,Severe,Surat
2022-11-23 14:00:00,1000.0,57.0,1.5125,18.6,11.1225,,3.8175,0.6125,,,,31.9725,32.3625,2.63,165.4225,309.255,850.0,500.0,Severe,Surat
2022-11-23 15:00:00,1000.0,65.955,1.2425,9.36,5.99,,3.63,0.57,,,,31.7825,33.095,2.665,168.2875,181.79,850.0,500.0,Severe,Surat
2023-04-14 03:00:00,0.03,802.0,2.1175,7.035,5.46,,1.0875,1.665,,,,28.0725,70.95,0.51,190.07,0.0,850.0,500.0,Severe,Surat
2023-05-10 05:00:00,24.0,810.775,3.6475,2.86,4.4875,,1.245,1.4675,,,,27.6775,86.4725,1.275,251.2525,0.0,850.0,500.0,Severe,Surat
2023-05-19 20:00:00,23.0,939.7425,2.39,5.6,1.7425,,6.6184864,1.485,,,,29.885,78.2075,1.8525,246.92,0.0,850.0,500.0,Severe,Surat
2023-05-20 10:00:00,33.0,627.1425,1.6375,0.4,0.0,,,1.5075,,,,36.8975,59.2975,1.58,242.14,527.1025,850.0,500.0,Severe,Surat
2023-05-20 12:00:00,28.0,629.6425,1.0775,6.9,1.01,,,1.4825,,,,36.485,60.35,1.735,225.225,506.55,850.0,500.0,Severe,Surat
2023-05-20 13:00:00,24.0,819.1575,3.0125,6.1275,2.645,,,1.44,,,,36.3175,58.9275,2.02,237.49,489.3275,850.0,500.0,Severe,Surat
2023-05-20 16:00:00,24.0,943.6925,2.2275,0.3825,0.005,,,1.3625,,,,36.195,55.285,1.67,220.2025,224.6,850.0,500.0,Severe,Surat
2023-05-20 17:00:00,22.0,900.5675,2.9475,5.42,4.65,,,1.375,,,,34.9775,60.0175,1.4975,235.0375,119.75,850.0,500.0,Severe,Surat
2023-05-21 08:00:00,23.0,993.0,4.9825,4.145,5.1225,,,1.4375,,,,34.275,63.8375,1.1875,225.4425,356.6775,850.0,500.0,Severe,Surat
2023-05-21 09:00:00,17.0,993.0,1.7375,2.4,0.405,,,1.5025,,,,35.785,58.825,1.2725,228.08,434.035,850.0,500.0,Severe,Surat
2023-05-21 14:00:00,38.0,649.4175,1.7925,0.85,0.0,,,1.385,,,,35.9775,61.32,1.645,230.3275,454.59,850.0,500.0,Severe,Surat
