Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2024-10-31 22:00:00,508.4125,694.31,30.965,53.4775,51.1725,42.4925,14.99,0.9475,22.9,9.6825,20.1575,26.9625,81.115,0.9775,45.4225,0.0,,500.0,Severe,Thane
2024-10-31 23:00:00,638.91,694.31,3.51,22.9475,13.2075,17.3725,10.75,0.3225,30.175,5.75,18.525,26.475,78.4675,1.045,46.5525,0.0,,500.0,Severe,Thane
2024-11-01 23:00:00,252.5325,662.8775,7.1175,32.3575,21.0125,25.4575,12.21,0.8375,29.72,6.045,18.725,25.865,88.74,1.0225,16.2775,0.0,,500.0,Severe,Thane
2024-03-28 00:00:00,56.8425,557.755,3.35,37.74,22.4025,33.0725,1.9725,0.245,21.5025,1.0875,3.805,29.0,55.145,0.7025,177.64,0.0,,475.4,Severe,Thane
2024-11-01 22:00:00,187.2775,551.8025,8.1075,55.2275,33.75,31.395,12.1925,0.7675,31.02,6.01,18.2425,26.5425,83.8675,1.0075,49.6075,0.0,,471.9,Severe,Thane
2025-04-04 15:00:00,41.53909,522.13776,5.668864,8.271363,8.777045,24.663181,0.51204544,0.0225,39.142693,1.67475,7.083,33.07475,54.08675,0.8585,276.00275,236.5875,,454.7,Severe,Thane
2024-11-02 00:00:00,227.35,517.5625,2.645,13.75,7.7,14.8975,10.6825,0.5525,30.74,13.65,18.75,25.545,84.735,1.07,51.855,0.0,,452.0,Severe,Thane
2023-11-13 00:00:00,376.265,490.235,11.68,73.345,42.7775,67.4225,32.655,1.455,21.0475,6.1075,0.745,31.4225,61.345,2.17,285.8125,0.0,,451.0,Severe,Thane
2025-04-04 16:00:00,55.6,492.575,4.3025,15.8425,11.725,27.94,1.615,0.0,24.0325,1.5925,8.645,31.445,36.355,0.48,132.4375,74.85,,437.4,Severe,Thane
2025-10-20 23:00:00,54.755,488.4475,1.7875,9.925,6.62,6.7825,4.0525,0.5825,14.5575,,,25.68,86.265,0.9075,59.3625,0.0,,435.0,Severe,Thane
2024-02-04 10:00:00,283.0025,334.1275,3.305,36.515,21.325,19.5,33.2625,0.8175,60.86,6.805,8.2425,31.9175,40.1625,1.03,173.3975,314.975,,414.1,Severe,Thane
2023-11-12 23:00:00,244.8125,388.5475,6.71,41.7475,24.615,34.615,34.565,0.82,53.08,3.415,0.6025,31.4275,61.0075,6.2225,166.3525,0.0,,396.0,Very Poor,Thane
2023-11-13 01:00:00,237.2025,375.4425,3.7825,52.8075,24.51,47.4325,22.8175,0.94,18.67,6.9625,0.71,31.25,62.61,2.1825,286.9575,0.0,,390.3,Very Poor,Thane
2024-11-01 21:00:00,131.0625,421.5975,6.7825,49.935,29.9225,27.1525,11.4375,0.82,37.115,5.3675,17.8675,27.4425,79.13,0.875,59.155,0.0,,389.6,Very Poor,Thane
2024-02-04 11:00:00,217.08,262.5225,1.9075,33.9825,18.8875,16.5675,28.83,0.765,88.325,3.695,5.2925,35.33,33.5675,0.94,182.72,405.55,,374.9,Very Poor,Thane
2024-07-27 00:00:00,209.2575,337.6375,2.92,3.5225,2.1375,6.4875,0.01,0.2025,14.4875,0.09,6.985,29.495,67.7775,1.1825,222.7,0.0,,369.0,Very Poor,Thane
2024-02-04 08:00:00,204.78,212.35,7.01,54.5275,33.71,27.2375,35.79,1.5275,7.53,9.0725,9.065,24.935,64.86,0.9925,48.6,40.6,,365.6,Very Poor,Thane
2024-02-04 09:00:00,204.78,212.35,6.5,49.3425,30.5925,24.9075,38.965,1.11,29.1675,10.6475,10.4725,29.05,49.195,0.84,175.3275,178.125,,365.6,Very Poor,Thane
2024-02-04 07:00:00,199.325,207.01,3.0625,45.7175,25.94,21.4325,31.2475,1.0725,10.02,7.135,6.9075,23.73,65.1475,0.965,60.085,0.0,,361.4,Very Poor,Thane
2024-11-01 01:00:00,172.8825,230.7525,2.4625,15.3125,8.37,14.425,10.2275,0.33,32.69,4.145,17.3875,25.3475,81.055,1.155,34.2475,0.0,,341.3,Very Poor,Thane
2024-02-04 12:00:00,168.2875,249.375,1.2775,24.7575,13.56,13.8975,29.7825,0.525,103.735,2.7725,6.3275,37.645,29.2825,0.9625,193.1775,476.65,,337.8,Very Poor,Thane
2024-11-02 02:00:00,165.9375,339.56,2.5225,13.645,7.545,15.7575,10.155,0.4825,29.855,13.365,19.5325,24.7675,90.39,1.095,26.8075,0.0,,336.0,Very Poor,Thane
2024-01-29 10:00:00,164.9175,295.9,3.61,36.8825,21.7625,,56.3825,0.84,59.2675,6.37,6.3325,30.3025,31.29,0.9625,190.265,309.75,,335.2,Very Poor,Thane
2025-01-15 11:00:00,162.9975,340.5975,3.095,45.0975,26.045,12.4925,17.4725,1.0575,101.7,15.9825,56.525,29.31,55.6825,0.8525,230.165,269.35,,333.7,Very Poor,Thane
2024-01-28 10:00:00,162.765,305.2975,4.31,31.315,19.415,17.59,39.445,0.78,60.8025,6.9925,7.1075,31.0425,35.5875,0.8125,182.4875,334.6,,333.6,Very Poor,Thane
2025-01-15 12:00:00,160.5125,297.8575,2.085,44.32,24.8275,11.595,17.1525,0.81,120.8425,13.915,56.23,31.4725,46.71,0.9425,212.8525,303.6,,331.9,Very Poor,Thane
2024-11-02 01:00:00,160.1625,188.085,4.4875,37.5825,21.6275,24.6525,10.675,0.85,27.4575,7.2725,18.4625,25.425,85.965,1.085,36.9275,0.0,,331.6,Very Poor,Thane
2024-01-19 10:00:00,156.8725,268.08,3.9825,44.255,25.91,20.915,27.985,1.025,67.7425,8.5875,9.61,27.4025,98.75,0.93,190.4325,314.65,,329.1,Very Poor,Thane
2025-01-22 08:00:00,156.8825,227.9675,3.3075,46.8125,27.1125,15.9575,13.32,1.14,1.2621429,25.7475,54.7825,20.125,77.45,0.88,179.82,27.35,,329.1,Very Poor,Thane
2023-11-13 02:00:00,154.9575,365.33,2.765,50.985,22.785,45.435,20.1525,0.8525,18.8525,6.8875,0.6875,31.22,62.4175,2.2,285.65,0.0,,327.6,Very Poor,Thane
2024-01-19 11:00:00,154.8675,278.595,2.4025,36.2725,20.4775,17.9075,26.2375,0.84,96.515,5.05,7.6075,30.4325,90.55,0.7375,184.225,457.85,,327.6,Very Poor,Thane
2024-01-31 11:00:00,154.885,269.7325,2.2275,30.285,17.21,16.545,29.36,0.705,71.2225,4.4725,6.1975,33.2125,34.5725,0.63,208.9175,429.275,,327.6,Very Poor,Thane
