Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2019-02-19 09:00:00,719.0,885.0,21.45,64.275,85.725,44.075,102.7,2.1,7.9,13.7,,,39.925,0.625,174.2,125.85,,500.0,Severe,Vapi
2019-02-19 23:00:00,153.0,985.0,22.45,37.2,59.675,66.95,8.25,1.1,2.475,3.525,,,67.925,0.1,298.0,19.125,,500.0,Severe,Vapi
2019-03-09 11:00:00,45.95,614.625,6.475,44.15,50.675,46.8,25.55,0.9,9.475,5.35,,,29.8,1.175,182.15,486.0,,500.0,Severe,Vapi
2019-03-10 02:00:00,99.1,980.575,62.425,12.575,75.075,48.975,7.8,1.25,1.625,5.95,,,66.425,0.15,304.075,19.0,,500.0,Severe,Vapi
2019-03-10 03:00:00,118.625,985.0,54.6,12.175,66.85,44.45,7.725,1.325,1.925,5.925,,,64.0,0.1,292.55,18.975,,500.0,Severe,Vapi
2019-03-10 04:00:00,87.275,985.0,49.75,9.475,59.275,34.9,8.2,1.5,2.15,5.925,,,63.85,0.15,291.125,18.825,,500.0,Severe,Vapi
2019-03-10 05:00:00,112.75,985.0,43.25,11.6,54.925,33.45,8.175,1.575,2.1,6.675,,,61.5,0.1,278.175,18.775,,500.0,Severe,Vapi
2019-03-10 06:00:00,92.5,985.0,36.2,11.2,47.425,31.375,7.0,1.675,1.975,7.475,,,66.1,0.15,299.55,19.25,,500.0,Severe,Vapi
2019-03-10 07:00:00,48.975,985.0,35.175,11.575,46.8,31.825,6.1,1.525,1.7,6.775,,,71.425,0.125,292.275,44.075,,500.0,Severe,Vapi
2019-03-10 08:00:00,47.65,985.0,32.625,15.9,48.6,38.75,14.4,1.475,1.65,6.025,,,54.475,0.15,318.425,135.5,,500.0,Severe,Vapi
2019-03-10 09:00:00,106.35,985.0,27.8,30.35,58.225,41.175,62.95,1.475,2.35,5.5,,,32.125,0.275,240.975,212.3,,500.0,Severe,Vapi
2019-03-10 10:00:00,136.95,985.0,11.875,48.75,60.65,40.45,45.275,1.3,4.95,6.05,,,23.3,0.675,200.575,370.3,,500.0,Severe,Vapi
2019-03-10 11:00:00,46.0,985.0,6.0,34.675,40.75,37.75,16.975,0.875,8.1,4.975,,,19.85,0.9,172.95,504.9,,500.0,Severe,Vapi
2019-03-10 12:00:00,46.0,985.0,3.325,25.95,29.275,35.0,9.5,0.625,9.65,3.85,,,18.175,0.525,138.125,554.325,,500.0,Severe,Vapi
2019-03-10 13:00:00,269.75,985.0,2.8,25.475,28.325,32.375,15.225,0.625,12.875,2.9,,,21.6,1.05,86.25,540.75,,500.0,Severe,Vapi
2019-03-10 14:00:00,16.875,985.0,2.925,27.1,30.125,33.15,15.625,0.725,12.3,1.95,,,19.325,1.05,85.425,488.05,,500.0,Severe,Vapi
2019-03-10 15:00:00,8.1,985.0,2.925,25.9,28.9,32.5,13.1,0.8,10.075,1.6,,,17.975,1.1,97.075,375.4,,500.0,Severe,Vapi
2019-03-10 16:00:00,17.875,985.0,3.6,21.925,25.55,27.025,11.2,0.625,9.0,1.05,,,19.75,1.025,91.425,241.05,,500.0,Severe,Vapi
2019-03-10 17:00:00,7.1,985.0,3.85,24.35,28.25,30.175,9.95,0.4,10.4,0.875,,,28.275,1.175,96.8,114.95,,500.0,Severe,Vapi
2019-03-10 18:00:00,16.075,985.0,4.75,26.05,30.85,31.675,11.3,0.5,7.325,0.775,,,37.375,0.575,67.7,32.3,,500.0,Severe,Vapi
2019-03-10 19:00:00,24.075,985.0,8.65,28.125,36.85,33.05,12.0,0.6,2.875,1.0,,,44.525,0.25,119.95,18.975,,500.0,Severe,Vapi
2019-03-10 20:00:00,38.9,985.0,11.075,21.575,32.7,31.075,7.125,0.575,2.375,1.875,,,49.575,0.15,294.575,18.825,,500.0,Severe,Vapi
2019-03-10 21:00:00,22.05,985.0,15.45,17.55,33.025,26.6,5.875,0.7,2.125,2.2,,,52.25,0.15,294.65,18.9,,500.0,Severe,Vapi
2019-03-10 22:00:00,32.025,985.0,18.5,16.05,34.575,25.275,4.725,0.75,2.1,2.2,,,57.1,0.2,291.875,19.4,,500.0,Severe,Vapi
2019-03-10 23:00:00,38.0,985.0,19.525,17.375,36.95,24.65,4.675,0.725,2.05,2.3,,,60.0,0.45,255.0,18.625,,500.0,Severe,Vapi
2019-03-11 00:00:00,41.325,985.0,20.15,20.85,41.025,26.65,9.225,0.85,2.175,2.4,,,54.2,0.475,15.65,18.575,,500.0,Severe,Vapi
2019-03-11 01:00:00,100.7,985.0,21.0,24.675,45.675,34.05,11.85,0.775,1.6,3.625,,,57.85,0.4,261.5,18.725,,500.0,Severe,Vapi
2019-03-11 02:00:00,52.875,985.0,21.225,20.3,41.55,35.825,8.3,0.8,1.825,4.4,,,63.025,0.2,292.925,18.625,,500.0,Severe,Vapi
2019-03-11 03:00:00,32.075,985.0,20.6,18.125,38.75,35.725,6.825,0.875,1.75,3.6,,,64.05,0.15,285.775,18.825,,500.0,Severe,Vapi
2019-03-11 04:00:00,46.9,985.0,19.3,17.475,36.8,35.15,5.975,0.9,2.05,3.1,,,65.925,0.15,315.525,18.875,,500.0,Severe,Vapi
2019-03-11 05:00:00,31.1,985.0,16.825,15.625,32.5,27.65,4.575,0.725,2.1,2.75,,,71.325,0.1,303.275,18.725,,500.0,Severe,Vapi
2019-03-11 06:00:00,51.925,985.0,16.05,13.625,29.7,25.2,3.95,0.85,2.175,2.5,,,75.6,0.15,337.0,19.325,,500.0,Severe,Vapi
2019-03-11 07:00:00,43.075,985.0,15.375,12.775,28.2,24.3,3.6,0.825,2.075,2.425,,,76.875,0.175,312.55,46.825,,500.0,Severe,Vapi
2019-03-11 08:00:00,55.875,985.0,15.325,13.8,29.175,24.475,5.4,0.875,2.0,2.55,,,66.35,0.3,201.725,134.85,,500.0,Severe,Vapi
