Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
2021-11-04 23:00:00,719.5,630.75,60.125,100.45,102.3,8.9,133.725,3.56,18.7,,,19.775,58.5,0.3,138.5,55.25,706.0,500.0,Severe,bhopal
2021-11-05 00:00:00,768.25,978.0,45.225,114.125,97.45,4.9,130.3,3.12,20.975,,,19.075,60.25,0.3,133.0,52.25,706.0,500.0,Severe,bhopal
2021-11-05 01:00:00,852.0,917.5,13.125,113.25,70.925,5.05,87.35,2.7025,20.775,,,18.15,63.25,0.3,133.0,53.0,706.0,500.0,Severe,bhopal
2021-11-05 02:00:00,597.0,736.0,110.875,153.0,171.525,8.225,94.15,4.255,18.275,,,18.625,70.0,0.375,220.5,50.5,706.0,500.0,Severe,bhopal
2021-11-05 03:00:00,597.0,736.0,53.55,178.625,138.55,13.775,75.925,2.49,21.075,,,18.825,68.5,0.675,300.5,51.25,704.25,500.0,Severe,bhopal
2021-11-05 04:00:00,507.25,628.5,4.6,127.075,71.35,19.05,21.05,1.4825,43.725,,,18.2,68.75,0.375,318.25,52.0,704.0,500.0,Severe,bhopal
2021-11-15 22:00:00,433.25,703.0,3.675,70.45,40.425,25.6,75.575,2.1875,46.3,,,19.825,50.25,1.35,169.25,50.5,704.0,500.0,Severe,bhopal
2021-11-15 23:00:00,394.0,620.5,2.375,44.425,25.575,23.275,48.65,1.3575,88.225,,,18.925,49.5,1.35,168.5,51.0,704.0,500.0,Severe,bhopal
2022-01-05 13:00:00,600.0,797.75,3.575,31.275,19.575,21.4,39.05,2.745,59.3,,,25.725,43.5,1.175,166.25,475.0,705.0,500.0,Severe,bhopal
2022-01-05 14:00:00,506.5,574.25,1.725,15.625,9.7,23.25,33.975,3.875,24.2,,,25.65,46.5,1.1,186.25,424.0,705.0,500.0,Severe,bhopal
2022-01-05 15:00:00,624.5,691.5,3.15,31.1,19.15,29.3,39.875,3.78,23.5,,,25.65,49.25,1.125,179.5,338.75,705.0,500.0,Severe,bhopal
2022-01-05 16:00:00,929.0,969.0,4.25,29.85,19.375,36.35,40.075,3.78,23.925,,,25.475,50.5,1.275,167.25,240.75,705.0,500.0,Severe,bhopal
2022-01-05 17:00:00,889.0,933.0,2.55,20.2,12.825,20.625,30.75,3.27,26.05,,,23.35,57.5,0.675,162.25,62.25,705.0,500.0,Severe,bhopal
2022-01-05 18:00:00,671.75,738.25,2.525,34.15,20.2,21.975,29.6,3.31,28.316668,,,21.675,63.25,0.45,180.25,60.75,705.0,500.0,Severe,bhopal
2022-01-05 21:00:00,569.5,603.5,19.725,69.675,53.1,37.475,21.725,3.62,35.116665,,,20.775,67.25,0.675,147.75,61.25,705.0,500.0,Severe,bhopal
2022-01-05 22:00:00,812.75,936.25,9.5,62.075,40.75,30.45,29.525,3.595625,33.108334,,,20.4,68.25,0.925,156.0,60.25,705.0,500.0,Severe,bhopal
2022-01-05 23:00:00,545.0,729.0,5.075,40.475,25.65,21.025,31.025,3.208125,25.325,,,19.625,71.0,1.2,160.25,60.5,705.0,500.0,Severe,bhopal
2022-01-06 13:00:00,458.0,613.75,2.275,17.35,11.1,23.75,41.425,3.65,72.2,,,25.725,50.0,1.625,192.0,465.25,705.0,500.0,Severe,bhopal
2022-01-07 13:00:00,357.43903,829.0,10.475,56.925,38.825,55.35,22.175,3.99,27.569231,,,21.025,71.75,0.95,145.75,494.75,704.0,500.0,Severe,bhopal
2022-01-07 14:00:00,,829.0,7.875,40.5,27.95,54.25,20.225,4.15,31.45,,,22.075,68.25,0.825,143.75,509.0,704.0,500.0,Severe,bhopal
2022-01-07 15:00:00,,823.4722,6.75,41.5,27.55,60.3,19.275,4.33,55.2,,,22.175,68.25,0.8,149.0,413.75,704.0,500.0,Severe,bhopal
2022-01-07 16:00:00,,751.6111,6.75,55.775,35.15,61.975,22.55,3.935,55.2,,,22.0,68.5,0.6,147.5,245.0,704.0,500.0,Severe,bhopal
2022-01-07 17:00:00,609.0,663.1667,7.675,67.1,41.925,50.1,21.675,3.105,58.2,,,20.55,74.5,0.475,131.0,61.75,704.0,500.0,Severe,bhopal
2022-01-07 18:00:00,668.0,693.75,12.125,95.2,60.5,56.175,20.525,3.0675,46.1,,,19.6,78.5,0.525,143.0,61.5,704.0,500.0,Severe,bhopal
2022-01-07 19:00:00,878.25,885.0,17.1,81.7,57.375,66.125,23.2,2.91,35.725,,,19.125,80.0,0.625,138.75,62.0,704.0,500.0,Severe,bhopal
2022-01-07 20:00:00,938.0,879.75,16.025,75.175,53.0,66.075,22.075,2.8,23.825,,,18.45,81.75,0.675,147.5,60.75,704.0,500.0,Severe,bhopal
2022-01-07 21:00:00,757.0,823.5,8.1,49.8,33.05,67.975,22.075,2.25,35.1,,,18.225,81.75,0.725,145.0,60.5,704.0,500.0,Severe,bhopal
2022-01-07 22:00:00,538.5,666.0,5.5,37.375,24.35,58.45,17.975,1.6633333,44.35,,,17.9,81.75,0.8,163.75,62.75,704.0,500.0,Severe,bhopal
2022-05-21 17:00:00,41.5,616.25,5.725,11.125,9.025,9.075,21.125,0.835,89.325,,,38.775,19.5,1.625,229.25,214.5,708.0,500.0,Severe,bhopal
2023-04-27 16:00:00,52.5,761.0,1.1,29.0,16.325,25.975,24.25,1.2025,68.55,,,33.7,32.0,1.0,181.0,403.5,708.75,500.0,Severe,bhopal
2023-11-12 23:00:00,622.75,784.0,12.05,75.975,50.225,13.15,67.8,3.3375,11.475,,,20.725,63.5,0.3,282.0,38.5,714.0,500.0,Severe,bhopal
2023-11-13 00:00:00,823.0,784.0,15.7,69.3,49.625,13.25,110.55,3.0925,11.875,,,20.525,65.0,0.375,244.0,41.25,714.0,500.0,Severe,bhopal
2023-11-13 01:00:00,823.0,780.15,22.075,65.325,52.7,13.75,84.575,3.06,11.375,,,19.275,69.75,0.3,127.75,41.5,715.0,500.0,Severe,bhopal
2023-11-13 02:00:00,754.0,730.1,22.85,61.475,51.275,14.65,64.5,2.0625,23.2,,,19.325,70.0,0.3,232.5,40.75,715.0,500.0,Severe,bhopal
2025-10-20 23:00:00,218.0,701.75,4.225,51.125,30.625,21.125,9.35,2.1275,8.825,,,22.475,69.5,0.3,150.0,28.0,709.25,500.0,Severe,bhopal
2025-10-21 00:00:00,298.75,932.0,8.6,56.875,37.225,20.35,14.35,1.735,7.225,,,22.3,68.25,0.3,150.0,29.0,709.25,500.0,Severe,bhopal
2025-10-21 01:00:00,546.75,950.0,11.225,61.325,41.725,20.525,15.925,1.735,6.55,,,22.25,70.0,0.3,151.75,26.25,709.75,500.0,Severe,bhopal
2025-10-21 02:00:00,493.75,853.25,10.65,58.05,39.525,21.2,14.55,1.2975,26.775,,,22.25,69.5,0.3,183.0,27.5,709.0,500.0,Severe,bhopal
2021-02-23 20:00:00,125.75,598.25,4.95,14.325,11.65,3.75,14.725,4.135,4.625,,,23.35,35.25,0.55,93.75,9.0,708.0,499.0,Severe,bhopal
2023-11-13 03:00:00,461.0,594.5,11.975,56.3,39.675,16.475,30.95,1.45,49.0,,,18.65,70.75,0.3,291.5,39.5,714.75,496.8,Severe,bhopal
2022-01-08 16:00:00,486.5,569.75,3.6,28.275,17.975,28.1,12.35,2.27,77.0,,,23.9,61.75,0.6,228.25,229.25,705.0,494.7,Severe,bhopal
2024-11-13 04:00:00,223.25,589.25,16.275,48.375,38.95,94.2,34.575,2.975,4.525,,,20.025,75.5,0.3,314.75,37.75,710.0,493.7,Severe,bhopal
2023-11-12 22:00:00,380.5,586.75,9.575,79.15,49.875,13.725,58.325,3.58,12.125,,,21.675,59.0,0.3,324.5,38.5,714.0,492.3,Severe,bhopal
