Timestamp,City,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temperature_C,Humidity_pct,WindSpeed_ms,WindDirection_deg,SolarRadiation_Wm2,Pressure_mmHg,AQI,AQI_Category
2022-01-01 00:00:00,vishakhapattanam,44.5,92.25,2.825,22.825,14.475,13.425,19.5,0.375,29.95,2.25,9.7,20.525,79.0,0.35,169.5,8.0,754.0,92.4,Satisfactory
2022-01-02 10:00:00,vishakhapattanam,69.5,119.75,6.05,18.325,14.625,12.8,18.85,3.69,42.275,2.925,4.725,27.15,65.0,0.75,147.5,355.75,754.0,132.4,Moderate
2022-01-03 21:00:00,vishakhapattanam,73.0,124.0,10.4,82.4,52.275,8.475,19.475,1.085,26.875,4.75,20.75,20.575,70.5,0.3,166.25,8.0,753.0,143.9,Moderate
2022-01-05 07:00:00,vishakhapattanam,128.0,291.25,71.075,123.925,123.675,5.75,11.2,1.425,28.555,9.925,27.95,18.075,82.25,0.3,282.75,78.75,753.0,307.1,Very Poor
2022-01-06 18:00:00,vishakhapattanam,55.0,108.25,4.0,34.525,21.65,10.925,15.975,0.63,11.733,2.925,11.125,22.925,74.75,0.3,110.25,8.0,750.25,106.4,Moderate
2022-01-08 05:00:00,vishakhapattanam,145.0,310.75,18.1,91.475,63.4,3.15,18.725,0.922,5.875,12.4,62.725,17.65,87.5,0.3,292.0,8.0,751.5,320.0,Very Poor
2022-01-09 15:00:00,vishakhapattanam,68.5,116.75,3.05,14.375,10.125,12.65,14.875,0.468,,3.625,3.225,26.525,69.75,1.05,111.5,174.75,749.0,129.0,Moderate
2022-01-11 02:00:00,vishakhapattanam,72.25,167.75,73.5,91.85,108.625,8.475,19.65,0.602,6.5,7.775,28.425,20.225,85.75,0.3,278.5,8.0,750.25,145.7,Moderate
2022-01-12 13:00:00,vishakhapattanam,28.0,60.75,5.975,18.625,14.775,12.7,13.9,0.355,27.15,1.9,6.35,27.025,71.0,1.375,112.25,341.75,749.0,61.5,Satisfactory
2022-01-13 23:00:00,vishakhapattanam,8.0,33.0,6.2,38.025,25.275,18.475,19.525,0.34,12.75,5.4,31.8,19.2,89.0,1.325,149.25,8.0,750.0,47.5,Good
2022-01-15 10:00:00,vishakhapattanam,40.75,65.5,4.75,9.375,8.825,12.525,16.2,0.412,20.05,1.925,1.925,24.875,74.5,2.4,116.75,363.75,752.0,68.6,Satisfactory
2022-01-16 21:00:00,vishakhapattanam,54.0,84.75,3.375,10.175,8.125,12.95,17.15,0.36,31.275,1.25,1.6,22.35,78.0,0.85,122.75,8.0,753.0,90.2,Satisfactory
2022-01-18 07:00:00,vishakhapattanam,90.25,134.0,13.675,58.825,42.4,8.8,22.125,0.652,24.05,2.9,7.425,19.875,72.75,0.55,137.75,71.0,753.0,201.8,Poor
2022-01-19 18:00:00,vishakhapattanam,70.0,108.75,4.35,30.725,19.9,9.525,20.575,0.498,40.1,1.925,3.9,22.125,75.5,0.3,188.5,7.75,748.0,134.0,Moderate
2022-01-21 05:00:00,vishakhapattanam,80.25,134.0,6.425,50.975,32.35,8.525,14.825,0.43,12.15,1.675,16.725,19.1,87.0,0.3,273.5,8.75,747.75,167.8,Moderate
2022-01-22 15:00:00,vishakhapattanam,51.0,92.0,4.125,15.85,11.8,12.75,19.8,0.295,36.15,1.125,2.95,28.575,63.75,0.95,195.0,233.75,745.5,92.2,Satisfactory
2022-01-24 02:00:00,vishakhapattanam,57.0,114.0,6.4,40.15,26.575,13.25,19.8,0.212,7.275,3.525,75.075,22.25,87.0,0.3,283.5,8.0,746.0,110.2,Moderate
2022-01-25 13:00:00,vishakhapattanam,58.75,108.75,4.775,10.025,9.225,13.5,16.8,0.375,36.15,2.1,5.025,28.175,66.5,1.55,121.25,410.0,747.0,106.8,Moderate
