City,Model,R2,MAE,RMSE,Number_of_Features,Train_Samples,Validation_Samples,Test_Samples,Horizon
Ahmedabad,LinearRegression,0.7051,28.91,42.28,64,19764,4235,4236,1
Ahmedabad,LinearRegression,0.4543,39.77,57.52,64,19761,4234,4235,6
Ahmedabad,LinearRegression,0.5127,36.74,54.37,64,19748,4231,4233,24
Chennai,LinearRegression,0.5835,15.38,22.3,64,30881,6617,6618,1
Chennai,LinearRegression,0.2863,17.11,29.19,64,30877,6616,6618,6
Chennai,LinearRegression,0.0625,18.67,33.46,64,30865,6613,6615,24
Delhi_NCR,LinearRegression,0.8476,35.95,49.1,64,54392,11655,11656,1
Delhi_NCR,LinearRegression,0.7514,46.97,62.71,64,54388,11654,11656,6
Delhi_NCR,LinearRegression,0.7061,50.78,68.19,64,54376,11652,11652,24
GandhiNagar,LinearRegression,0.6426,15.79,24.81,64,41041,8794,8796,1
GandhiNagar,LinearRegression,0.3732,22.34,32.86,64,41038,8793,8795,6
GandhiNagar,LinearRegression,0.403,22.21,32.07,64,41025,8791,8792,24
Hyderabad,LinearRegression,0.4881,19.03,27.01,64,76994,16498,16500,1
Hyderabad,LinearRegression,0.382,23.42,29.67,64,76990,16498,16499,6
Hyderabad,LinearRegression,0.3342,24.57,30.79,64,76978,16495,16496,24
Indore,LinearRegression,0.7297,22.63,36.36,64,30543,6545,6546,1
Indore,LinearRegression,0.4497,32.68,51.88,64,30540,6544,6545,6
Indore,LinearRegression,0.4798,31.54,50.44,64,30527,6541,6543,24
Jaipur,LinearRegression,0.5719,26.07,40.23,64,29624,6348,6349,1
Jaipur,LinearRegression,0.3537,31.08,49.43,64,29621,6347,6348,6
Jaipur,LinearRegression,0.2038,35.6,54.88,64,29608,6344,6346,24
Jodhpur,LinearRegression,0.4617,46.35,66.7,64,30329,6499,6500,1
Jodhpur,LinearRegression,0.2705,56.9,77.65,64,30326,6498,6499,6
Jodhpur,LinearRegression,0.2742,57.0,77.47,64,30313,6495,6497,24
Mumbai,LinearRegression,0.5415,25.35,41.95,64,38082,8160,8162,1
Mumbai,LinearRegression,0.2842,31.86,52.42,64,38079,8159,8161,6
Mumbai,LinearRegression,0.1961,34.53,55.56,64,38066,8157,8158,24
Mumbai_suburbs,LinearRegression,0.764,16.03,23.69,64,15136,3243,3245,1
Mumbai_suburbs,LinearRegression,0.6938,18.48,26.98,64,15133,3242,3244,6
Mumbai_suburbs,LinearRegression,0.5609,23.36,32.29,64,15120,3240,3241,24
Nagpur,LinearRegression,0.8253,17.74,27.46,64,56489,12104,12106,1
Nagpur,LinearRegression,0.6589,26.41,38.38,64,56485,12104,12105,6
Nagpur,LinearRegression,0.631,27.13,39.91,64,56473,12101,12102,24
Pune,LinearRegression,0.0919,44.44,78.36,57,49325,10569,10571,1
Pune,LinearRegression,0.1116,45.77,77.51,57,49322,10569,10569,6
Pune,LinearRegression,-0.1005,51.62,86.28,57,49309,10566,10567,24
Singrauli,LinearRegression,0.5645,49.9,71.14,64,48653,10425,10427,1
Singrauli,LinearRegression,0.4204,61.73,82.08,64,48650,10425,10425,6
Singrauli,LinearRegression,0.3936,62.49,83.97,64,48637,10422,10423,24
Surat,LinearRegression,0.4135,37.11,68.4,50,18302,3921,3923,1
Surat,LinearRegression,0.203,44.79,79.74,50,18298,3921,3922,6
Surat,LinearRegression,0.1419,47.09,82.77,50,18286,3918,3919,24
Thane,LinearRegression,0.7665,14.85,23.08,64,14363,3078,3079,1
Thane,LinearRegression,0.6507,19.16,28.22,64,14360,3077,3078,6
Thane,LinearRegression,0.581,21.4,30.9,64,14347,3074,3076,24
Vapi,LinearRegression,0.467,40.02,56.0,64,40798,8742,8744,1
Vapi,LinearRegression,0.2898,49.59,64.64,64,40795,8741,8743,6
Vapi,LinearRegression,0.2613,49.92,65.93,64,40782,8739,8740,24
bhopal,LinearRegression,0.7407,25.93,40.06,64,30459,6527,6528,1
bhopal,LinearRegression,0.6389,33.05,47.28,64,30456,6526,6527,6
bhopal,LinearRegression,0.6087,33.92,49.22,64,30443,6523,6525,24
vishakhapattanam,LinearRegression,0.77,26.6,41.01,64,24229,5191,5193,1
vishakhapattanam,LinearRegression,0.6166,35.56,52.96,64,24225,5191,5192,6
vishakhapattanam,LinearRegression,0.5299,39.18,58.66,64,24213,5188,5189,24
