city,model,track,n_rows,n_train,n_val,n_test,n_features,R2,MAE,RMSE,train_time_s,inference_time_s
Ahmedabad,LinearRegression,A,28236,19765,4235,4236,22,0.5474,37.73,52.38,0.0404,0.000573
Chennai,LinearRegression,A,44117,30881,6617,6619,23,0.1785,16.41,31.32,0.0123,0.000454
Delhi_NCR,LinearRegression,A,77704,54392,11655,11657,24,0.6604,57.73,73.3,0.0208,0.000604
GandhiNagar,LinearRegression,A,58632,41042,8794,8796,22,0.4446,21.33,30.93,0.0115,0.000497
Hyderabad,LinearRegression,A,109993,76995,16498,16500,24,0.2868,24.99,31.88,0.0374,0.000649
Indore,LinearRegression,A,43635,30544,6545,6546,24,0.6665,28.79,40.39,0.0549,0.000648
Jaipur,LinearRegression,A,42322,29625,6348,6349,23,-0.0623,48.5,63.37,0.0607,0.000451
Jodhpur,LinearRegression,A,43329,30330,6499,6500,23,0.3987,50.85,70.5,0.0096,0.000472
Mumbai,LinearRegression,A,54405,38083,8160,8162,24,0.0798,41.42,59.44,0.0113,0.000509
Mumbai_suburbs,LinearRegression,A,21625,15137,3243,3245,23,0.5697,23.46,31.98,0.0056,0.000283
Nagpur,LinearRegression,A,80700,56490,12105,12105,22,0.6035,28.98,41.38,0.024,0.000597
Pune,LinearRegression,A,70466,49326,10569,10571,23,-0.2097,45.05,90.44,0.0135,0.000591
Singrauli,LinearRegression,A,69506,48654,10425,10427,15,0.3039,68.24,89.95,0.0094,0.000463
Surat,LinearRegression,A,26147,18302,3922,3923,24,0.2895,57.44,75.29,0.0065,0.000288
Thane,LinearRegression,A,20521,14364,3078,3079,23,0.4885,25.43,34.16,0.0061,0.000393
Vapi,LinearRegression,A,58285,40799,8742,8744,22,-0.198,67.19,83.95,0.0107,0.000476
bhopal,LinearRegression,A,43515,30460,6527,6528,24,0.6225,34.71,48.34,0.0095,0.000453
vishakhapattanam,LinearRegression,A,34614,24229,5192,5193,24,0.4914,36.83,60.99,0.008,0.000467
