city,model,horizon,R2,MAE,RMSE,MAPE,epochs,train_s
Ahmedabad,BiLSTM,1,0.6749,28.68,44.47,22.41,20,276.1
Ahmedabad,BiLSTM,6,0.5686,33.98,51.23,27.17,10,147.7
Ahmedabad,BiLSTM,24,0.4836,37.09,56.06,30.75,9,127.2
Chennai,BiLSTM,1,0.4054,14.75,26.66,18.46,19,411.9
Chennai,BiLSTM,6,0.2319,17.98,30.31,24.49,11,237.5
Chennai,BiLSTM,24,0.1309,18.78,32.24,25.03,11,240.6
Delhi_NCR,BiLSTM,1,0.8605,34.1,46.97,27.07,20,760.0
Delhi_NCR,BiLSTM,6,0.7805,43.73,58.93,33.93,11,419.3
Delhi_NCR,BiLSTM,24,0.6996,50.18,68.93,37.94,15,570.7
GandhiNagar,BiLSTM,1,0.5855,17.49,26.73,26.85,19,541.3
GandhiNagar,BiLSTM,6,0.3888,22.57,32.47,38.03,12,344.9
GandhiNagar,BiLSTM,24,0.3357,24.05,33.85,41.41,12,358.8
Hyderabad,BiLSTM,1,0.4929,20.44,26.85,26.45,14,777.3
Hyderabad,BiLSTM,6,0.3712,23.54,29.89,31.5,10,539.1
Hyderabad,BiLSTM,24,0.3017,25.04,31.5,34.12,14,754.8
Indore,BiLSTM,1,0.6717,25.11,40.12,20.1,12,259.1
Indore,BiLSTM,6,0.5422,29.49,47.38,24.31,11,258.8
Indore,BiLSTM,24,0.4922,31.77,49.91,27.36,10,236.7
Jaipur,BiLSTM,1,0.4716,27.31,44.77,18.71,18,377.7
Jaipur,BiLSTM,6,0.3089,30.83,51.2,21.49,8,169.6
Jaipur,BiLSTM,24,0.168,35.32,56.19,25.88,15,314.6
Jodhpur,BiLSTM,1,-1.4742,102.27,143.09,89.0,16,341.4
Jodhpur,BiLSTM,6,-1.974,115.66,156.84,105.17,10,216.6
Jodhpur,BiLSTM,24,-3.7027,162.18,197.1,152.16,17,383.9
Mumbai,BiLSTM,1,0.5094,25.52,43.45,32.55,12,322.9
Mumbai,BiLSTM,6,0.3333,29.79,50.66,38.38,12,337.5
Mumbai,BiLSTM,24,0.122,35.68,58.14,46.83,12,322.5
Mumbai_suburbs,BiLSTM,1,0.7235,16.98,25.57,20.72,10,119.8
Mumbai_suburbs,BiLSTM,6,0.6529,19.54,28.64,25.03,17,186.3
Mumbai_suburbs,BiLSTM,24,0.5503,23.72,32.59,32.94,17,185.1
Nagpur,BiLSTM,1,0.7977,19.72,29.55,25.62,23,908.6
Nagpur,BiLSTM,6,0.6939,24.6,36.35,30.99,14,554.5
Nagpur,BiLSTM,24,0.6346,28.0,39.71,38.11,12,477.3
Pune,BiLSTM,1,0.2804,42.23,69.77,134.84,9,311.7
Pune,BiLSTM,6,0.2166,44.04,72.8,140.94,13,449.7
Pune,BiLSTM,24,0.112,47.41,77.51,132.17,8,279.4
Singrauli,BiLSTM,1,0.6159,44.99,66.8,33.07,21,720.1
Singrauli,BiLSTM,6,0.4912,53.18,76.9,39.63,17,576.5
Singrauli,BiLSTM,24,0.4007,59.27,83.46,47.07,14,482.8
Surat,BiLSTM,1,0.3121,40.94,74.18,51.94,16,213.2
Surat,BiLSTM,6,0.2826,44.02,75.76,59.01,12,155.3
Surat,BiLSTM,24,0.2173,48.49,79.08,66.79,9,116.7
Thane,BiLSTM,1,0.7284,17.11,24.9,21.82,21,216.1
Thane,BiLSTM,6,0.6376,19.94,28.76,26.39,11,103.2
Thane,BiLSTM,24,0.5339,23.57,32.61,33.67,12,124.1
Vapi,BiLSTM,1,0.5241,35.92,52.82,39.57,17,486.3
Vapi,BiLSTM,6,0.3725,44.17,60.65,52.95,16,482.8
Vapi,BiLSTM,24,0.2121,50.75,67.98,60.37,9,271.8
bhopal,BiLSTM,1,0.6937,27.81,43.57,24.92,15,344.6
bhopal,BiLSTM,6,0.6514,31.14,46.48,29.69,16,343.0
bhopal,BiLSTM,24,0.5867,36.11,50.59,37.81,9,199.1
vishakhapattanam,BiLSTM,1,0.6884,30.17,47.84,24.06,23,394.0
vishakhapattanam,BiLSTM,6,0.6119,35.55,53.39,30.62,14,240.8
vishakhapattanam,BiLSTM,24,0.5281,39.19,58.89,32.37,11,189.8
